image,attack,branch,message,predicted,bit_accuracy,confidence,mask_pixels,used_fallback
alpaca.jpg,jpeg_q65,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999425,32324,0
alpaca.jpg,jpeg_q65,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999429,32328,0
alpaca.jpg,jpeg_q65,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999417,32473,0
alpaca.jpg,jpeg_q65,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999424,32356,0
alpaca.jpg,jpeg_q65,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999424,32358,0
alpaca.jpg,jpeg_q65,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999424,32356,0
alpaca.jpg,jpeg_q65,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999425,32357,0
alpaca.jpg,jpeg_q50,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999434,32332,0
alpaca.jpg,jpeg_q50,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999432,32319,0
alpaca.jpg,jpeg_q50,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999434,32326,0
alpaca.jpg,jpeg_q50,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999437,32314,0
alpaca.jpg,jpeg_q50,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999434,32319,0
alpaca.jpg,jpeg_q50,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999434,32319,0
alpaca.jpg,jpeg_q50,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999435,32331,0
alpaca.jpg,jpeg_q50,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999434,32334,0
alpaca.jpg,jpeg_q30,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999446,32279,0
alpaca.jpg,jpeg_q30,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999446,32210,0
alpaca.jpg,jpeg_q30,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999439,32180,0
alpaca.jpg,jpeg_q30,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999452,32165,0
alpaca.jpg,jpeg_q30,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999446,32286,0
alpaca.jpg,jpeg_q30,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999447,32287,0
alpaca.jpg,jpeg_q30,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999448,32295,0
alpaca.jpg,jpeg_q30,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999448,32294,0
alpaca.jpg,jpeg_q20,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999333,32321,0
alpaca.jpg,jpeg_q20,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999332,32294,0
alpaca.jpg,jpeg_q20,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999324,32287,0
alpaca.jpg,jpeg_q20,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999342,32287,0
alpaca.jpg,jpeg_q20,jpeg_mask_keep10,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999334,32328,0
alpaca.jpg,jpeg_q20,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999334,32325,0
alpaca.jpg,jpeg_q20,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,0.999335,32327,0
