image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000274066.png,resize_0.5,1.000000,1,rep3,10
000000274066.png,resize_0.25,1.000000,1,rep3,10
000000274066.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000274219.png,none,1.000000,1,rep3,10
000000274219.png,center_crop_0.5,1.000000,1,rep3,10
000000274219.png,center_crop_0.75,1.000000,1,rep3,10
000000274219.png,random_crop_0.5,0.700000,0,rep3,10
000000274219.png,jpeg_q30,1.000000,1,rep3,10
000000274219.png,jpeg_q10,1.000000,1,rep3,10
000000274219.png,jpeg_q5,1.000000,1,rep3,10
000000274219.png,resize_0.5,1.000000,1,rep3,10
000000274219.png,resize_0.25,1.000000,1,rep3,10
000000274219.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000274272.png,none,1.000000,1,rep3,10
000000274272.png,center_crop_0.5,1.000000,1,rep3,10
000000274272.png,center_crop_0.75,1.000000,1,rep3,10
000000274272.png,random_crop_0.5,0.700000,0,rep3,10
000000274272.png,jpeg_q30,1.000000,1,rep3,10
000000274272.png,jpeg_q10,1.000000,1,rep3,10
000000274272.png,jpeg_q5,1.000000,1,rep3,10
000000274272.png,resize_0.5,1.000000,1,rep3,10
000000274272.png,resize_0.25,1.000000,1,rep3,10
000000274272.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000274411.png,none,1.000000,1,rep3,10
000000274411.png,center_crop_0.5,1.000000,1,rep3,10
000000274411.png,center_crop_0.75,1.000000,1,rep3,10
000000274411.png,random_crop_0.5,0.700000,0,rep3,10
000000274411.png,jpeg_q30,1.000000,1,rep3,10
000000274411.png,jpeg_q10,1.000000,1,rep3,10
000000274411.png,jpeg_q5,1.000000,1,rep3,10
000000274411.png,resize_0.5,1.000000,1,rep3,10
000000274411.png,resize_0.25,1.000000,1,rep3,10
000000274411.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000274460.png,none,1.000000,1,rep3,10
000000274460.png,center_crop_0.5,1.000000,1,rep3,10
000000274460.png,center_crop_0.75,1.000000,1,rep3,10
000000274460.png,random_crop_0.5,0.900000,0,rep3,10
000000274460.png,jpeg_q30,1.000000,1,rep3,10
000000274460.png,jpeg_q10,1.000000,1,rep3,10
000000274460.png,jpeg_q5,1.000000,1,rep3,10
000000274460.png,resize_0.5,1.000000,1,rep3,10
000000274460.png,resize_0.25,1.000000,1,rep3,10
000000274460.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000274687.png,none,1.000000,1,rep3,10
000000274687.png,center_crop_0.5,1.000000,1,rep3,10
000000274687.png,center_crop_0.75,1.000000,1,rep3,10
000000274687.png,random_crop_0.5,0.800000,0,rep3,10
000000274687.png,jpeg_q30,1.000000,1,rep3,10
000000274687.png,jpeg_q10,1.000000,1,rep3,10
000000274687.png,jpeg_q5,1.000000,1,rep3,10
000000274687.png,resize_0.5,1.000000,1,rep3,10
000000274687.png,resize_0.25,0.900000,0,rep3,10
000000274687.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000274708.png,none,1.000000,1,rep3,10
000000274708.png,center_crop_0.5,1.000000,1,rep3,10
000000274708.png,center_crop_0.75,1.000000,1,rep3,10
000000274708.png,random_crop_0.5,0.800000,0,rep3,10
000000274708.png,jpeg_q30,1.000000,1,rep3,10
000000274708.png,jpeg_q10,1.000000,1,rep3,10
000000274708.png,jpeg_q5,1.000000,1,rep3,10
000000274708.png,resize_0.5,1.000000,1,rep3,10
000000274708.png,resize_0.25,1.000000,1,rep3,10
000000274708.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000275058.png,none,1.000000,1,rep3,10
000000275058.png,center_crop_0.5,1.000000,1,rep3,10
000000275058.png,center_crop_0.75,1.000000,1,rep3,10
000000275058.png,random_crop_0.5,0.900000,0,rep3,10
000000275058.png,jpeg_q30,1.000000,1,rep3,10
000000275058.png,jpeg_q10,1.000000,1,rep3,10
000000275058.png,jpeg_q5,1.000000,1,rep3,10
000000275058.png,resize_0.5,1.000000,1,rep3,10
000000275058.png,resize_0.25,1.000000,1,rep3,10
000000275058.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000275198.png,none,1.000000,1,rep3,10
000000275198.png,center_crop_0.5,1.000000,1,rep3,10
000000275198.png,center_crop_0.75,1.000000,1,rep3,10
000000275198.png,random_crop_0.5,0.700000,0,rep3,10
000000275198.png,jpeg_q30,1.000000,1,rep3,10
000000275198.png,jpeg_q10,1.000000,1,rep3,10
000000275198.png,jpeg_q5,1.000000,1,rep3,10
000000275198.png,resize_0.5,1.000000,1,rep3,10
000000275198.png,resize_0.25,0.900000,0,rep3,10
000000275198.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000275392.png,none,1.000000,1,rep3,10
000000275392.png,center_crop_0.5,1.000000,1,rep3,10
000000275392.png,center_crop_0.75,1.000000,1,rep3,10
000000275392.png,random_crop_0.5,0.700000,0,rep3,10
000000275392.png,jpeg_q30,1.000000,1,rep3,10
000000275392.png,jpeg_q10,1.000000,1,rep3,10
000000275392.png,jpeg_q5,1.000000,1,rep3,10
000000275392.png,resize_0.5,1.000000,1,rep3,10
000000275392.png,resize_0.25,1.000000,1,rep3,10
000000275392.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000275727.png,none,1.000000,1,rep3,10
000000275727.png,center_crop_0.5,1.000000,1,rep3,10
000000275727.png,center_crop_0.75,1.000000,1,rep3,10
000000275727.png,random_crop_0.5,0.900000,0,rep3,10
000000275727.png,jpeg_q30,1.000000,1,rep3,10
000000275727.png,jpeg_q10,1.000000,1,rep3,10
000000275727.png,jpeg_q5,1.000000,1,rep3,10
000000275727.png,resize_0.5,1.000000,1,rep3,10
000000275727.png,resize_0.25,0.900000,0,rep3,10
000000275727.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000275749.png,none,1.000000,1,rep3,10
000000275749.png,center_crop_0.5,1.000000,1,rep3,10
000000275749.png,center_crop_0.75,1.000000,1,rep3,10
000000275749.png,random_crop_0.5,0.900000,0,rep3,10
000000275749.png,jpeg_q30,1.000000,1,rep3,10
000000275749.png,jpeg_q10,0.900000,0,rep3,10
000000275749.png,jpeg_q5,1.000000,1,rep3,10
000000275749.png,resize_0.5,1.000000,1,rep3,10
000000275749.png,resize_0.25,1.000000,1,rep3,10
000000275749.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000275791.png,none,1.000000,1,rep3,10
000000275791.png,center_crop_0.5,1.000000,1,rep3,10
000000275791.png,center_crop_0.75,1.000000,1,rep3,10
000000275791.png,random_crop_0.5,0.800000,0,rep3,10
000000275791.png,jpeg_q30,1.000000,1,rep3,10
000000275791.png,jpeg_q10,1.000000,1,rep3,10
000000275791.png,jpeg_q5,1.000000,1,rep3,10
000000275791.png,resize_0.5,1.000000,1,rep3,10
000000275791.png,resize_0.25,1.000000,1,rep3,10
000000275791.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000276018.png,none,1.000000,1,rep3,10
000000276018.png,center_crop_0.5,1.000000,1,rep3,10
000000276018.png,center_crop_0.75,1.000000,1,rep3,10
000000276018.png,random_crop_0.5,0.700000,0,rep3,10
000000276018.png,jpeg_q30,1.000000,1,rep3,10
000000276018.png,jpeg_q10,1.000000,1,rep3,10
000000276018.png,jpeg_q5,1.000000,1,rep3,10
000000276018.png,resize_0.5,1.000000,1,rep3,10
000000276018.png,resize_0.25,0.900000,0,rep3,10
000000276018.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000276024.png,none,1.000000,1,rep3,10
000000276024.png,center_crop_0.5,1.000000,1,rep3,10
000000276024.png,center_crop_0.75,1.000000,1,rep3,10
000000276024.png,random_crop_0.5,0.700000,0,rep3,10
000000276024.png,jpeg_q30,1.000000,1,rep3,10
000000276024.png,jpeg_q10,1.000000,1,rep3,10
000000276024.png,jpeg_q5,1.000000,1,rep3,10
000000276024.png,resize_0.5,1.000000,1,rep3,10
000000276024.png,resize_0.25,1.000000,1,rep3,10
000000276024.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000276055.png,none,1.000000,1,rep3,10
000000276055.png,center_crop_0.5,1.000000,1,rep3,10
000000276055.png,center_crop_0.75,1.000000,1,rep3,10
000000276055.png,random_crop_0.5,0.900000,0,rep3,10
000000276055.png,jpeg_q30,1.000000,1,rep3,10
000000276055.png,jpeg_q10,1.000000,1,rep3,10
000000276055.png,jpeg_q5,1.000000,1,rep3,10
000000276055.png,resize_0.5,1.000000,1,rep3,10
000000276055.png,resize_0.25,1.000000,1,rep3,10
000000276055.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000276284.png,none,1.000000,1,rep3,10
000000276284.png,center_crop_0.5,1.000000,1,rep3,10
000000276284.png,center_crop_0.75,1.000000,1,rep3,10
000000276284.png,random_crop_0.5,0.900000,0,rep3,10
000000276284.png,jpeg_q30,1.000000,1,rep3,10
000000276284.png,jpeg_q10,1.000000,1,rep3,10
000000276284.png,jpeg_q5,1.000000,1,rep3,10
000000276284.png,resize_0.5,1.000000,1,rep3,10
000000276284.png,resize_0.25,1.000000,1,rep3,10
000000276284.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000276285.png,none,1.000000,1,rep3,10
000000276285.png,center_crop_0.5,1.000000,1,rep3,10
000000276285.png,center_crop_0.75,1.000000,1,rep3,10
000000276285.png,random_crop_0.5,0.800000,0,rep3,10
000000276285.png,jpeg_q30,1.000000,1,rep3,10
000000276285.png,jpeg_q10,1.000000,1,rep3,10
000000276285.png,jpeg_q5,1.000000,1,rep3,10
000000276285.png,resize_0.5,1.000000,1,rep3,10
000000276285.png,resize_0.25,1.000000,1,rep3,10
000000276285.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000276434.png,none,1.000000,1,rep3,10
000000276434.png,center_crop_0.5,1.000000,1,rep3,10
000000276434.png,center_crop_0.75,1.000000,1,rep3,10
000000276434.png,random_crop_0.5,0.700000,0,rep3,10
000000276434.png,jpeg_q30,1.000000,1,rep3,10
000000276434.png,jpeg_q10,1.000000,1,rep3,10
000000276434.png,jpeg_q5,1.000000,1,rep3,10
000000276434.png,resize_0.5,1.000000,1,rep3,10
000000276434.png,resize_0.25,1.000000,1,rep3,10
000000276434.png,crop_50_jpeg_30,1.000000,1,rep3,10
000000276707.png,none,1.000000,1,rep3,10
000000276707.png,center_crop_0.5,1.000000,1,rep3,10
000000276707.png,center_crop_0.75,1.000000,1,rep3,10
000000276707.png,random_crop_0.5,1.000000,1,rep3,10
000000276707.png,jpeg_q30,1.000000,1,rep3,10
000000276707.png,jpeg_q10,1.000000,1,rep3,10
000000276707.png,jpeg_q5,1.000000,1,rep3,10
000000276707.png,resize_0.5,1.000000,1,rep3,10
