image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000002587.png,jpeg_q30,single_scale,1.0,1,10.039,13.0573,1.0
000000002592.png,none,single_scale,1.0,1,9.7434,9.7434,1.0
000000002592.png,center_crop_0.5,single_scale,0.5,0,9.7434,7.0097,1.0
000000002592.png,center_crop_0.75,single_scale,0.53125,0,9.7434,7.8331,1.0
000000002592.png,random_crop_0.5,single_scale,0.5,0,9.7434,7.0145,1.0
000000002592.png,jpeg_q30,single_scale,1.0,1,9.7434,12.8584,1.0
000000002685.png,none,single_scale,1.0,1,9.9538,9.9538,1.0
000000002685.png,center_crop_0.5,single_scale,0.5,0,9.9538,6.4908,1.0
000000002685.png,center_crop_0.75,single_scale,0.53125,0,9.9538,7.4643,1.0
000000002685.png,random_crop_0.5,single_scale,0.5,0,9.9538,6.9847,1.0
000000002685.png,jpeg_q30,single_scale,1.0,1,9.9538,12.9584,1.0
000000002923.png,none,single_scale,1.0,1,9.7081,9.7081,1.0
000000002923.png,center_crop_0.5,single_scale,0.5,0,9.7081,7.2068,1.0
000000002923.png,center_crop_0.75,single_scale,0.53125,0,9.7081,8.3918,1.0
000000002923.png,random_crop_0.5,single_scale,0.5,0,9.7081,7.0137,1.0
000000002923.png,jpeg_q30,single_scale,1.0,1,9.7081,12.9316,1.0
000000003156.png,none,single_scale,1.0,1,10.4103,10.4103,1.0
000000003156.png,center_crop_0.5,single_scale,0.5,0,10.4103,6.3173,1.0
000000003156.png,center_crop_0.75,single_scale,0.53125,0,10.4103,7.4269,1.0
000000003156.png,random_crop_0.5,single_scale,0.4375,0,10.4103,6.5077,1.0
000000003156.png,jpeg_q30,single_scale,1.0,1,10.4103,12.9497,1.0
000000003255.png,none,single_scale,1.0,1,10.0612,10.0612,1.0
000000003255.png,center_crop_0.5,single_scale,0.5,0,10.0612,7.0222,1.0
000000003255.png,center_crop_0.75,single_scale,0.53125,0,10.0612,7.7419,1.0
000000003255.png,random_crop_0.5,single_scale,0.5,0,10.0612,7.183,1.0
000000003255.png,jpeg_q30,single_scale,1.0,1,10.0612,12.8721,1.0
000000003501.png,none,single_scale,1.0,1,10.2655,10.2655,1.0
000000003501.png,center_crop_0.5,single_scale,0.5,0,10.2655,6.1938,1.0
000000003501.png,center_crop_0.75,single_scale,0.53125,0,10.2655,6.2529,1.0
000000003501.png,random_crop_0.5,single_scale,0.5,0,10.2655,6.3599,1.0
000000003501.png,jpeg_q30,single_scale,1.0,1,10.2655,12.9278,1.0
000000003553.png,none,single_scale,1.0,1,10.4465,10.4465,1.0
000000003553.png,center_crop_0.5,single_scale,0.5,0,10.4465,6.0681,1.0
000000003553.png,center_crop_0.75,single_scale,0.53125,0,10.4465,7.0312,1.0
000000003553.png,random_crop_0.5,single_scale,0.4375,0,10.4465,6.5308,1.0
000000003553.png,jpeg_q30,single_scale,1.0,1,10.4465,12.9442,1.0
000000003661.png,none,single_scale,1.0,1,9.87,9.87,1.0
000000003661.png,center_crop_0.5,single_scale,0.5,0,9.87,7.2725,1.0
000000003661.png,center_crop_0.75,single_scale,0.53125,0,9.87,7.801,1.0
000000003661.png,random_crop_0.5,single_scale,0.59375,0,9.87,7.2431,1.0
000000003661.png,jpeg_q30,single_scale,1.0,1,9.87,12.9687,1.0
000000003845.png,none,single_scale,1.0,1,10.2297,10.2297,1.0
000000003845.png,center_crop_0.5,single_scale,0.5,0,10.2297,7.2411,1.0
000000003845.png,center_crop_0.75,single_scale,0.5,0,10.2297,7.9646,1.0
000000003845.png,random_crop_0.5,single_scale,0.53125,0,10.2297,7.7667,1.0
000000003845.png,jpeg_q30,single_scale,1.0,1,10.2297,12.8878,1.0
000000003934.png,none,single_scale,1.0,1,10.1307,10.1307,1.0
000000003934.png,center_crop_0.5,single_scale,0.5,0,10.1307,7.0884,1.0
000000003934.png,center_crop_0.75,single_scale,0.53125,0,10.1307,8.2337,1.0
000000003934.png,random_crop_0.5,single_scale,0.4375,0,10.1307,8.4014,1.0
000000003934.png,jpeg_q30,single_scale,1.0,1,10.1307,12.9683,1.0
000000004134.png,none,single_scale,1.0,1,10.4255,10.4255,1.0
000000004134.png,center_crop_0.5,single_scale,0.5625,0,10.4255,6.6303,1.0
000000004134.png,center_crop_0.75,single_scale,0.53125,0,10.4255,7.3528,1.0
