scheme,code_mode,scenario,attack,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr,num_source_rows
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.510417,0.541667,0.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.177083,0.500000,0.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.177083,0.500000,0.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,none,global_full_canvas,0.489583,0.416667,0.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.500000,0.500000,0.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0.000000,0.458333,0.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.000000,0.458333,0.000000,44.1606,3
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q50,global_full_canvas,0.500000,0.562500,0.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q50,must_mer_resize,0.281250,0.562500,0.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q50,oracle_box_raw,0.296875,0.625000,0.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q70,global_full_canvas,0.000000,0.437500,0.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q70,must_mer_resize,0.593750,0.750000,0.500000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,jpeg_q70,oracle_box_raw,0.625000,0.750000,0.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,none,global_full_canvas,0.000000,0.437500,0.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.437500,0.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0.484375,0.562500,0.000000,41.9336,2
dwsf_q50_s3.0,rep4_adjacent_8bit,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.453125,0.562500,0.000000,41.9336,2
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.458333,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.166667,0.500000,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.197917,0.625000,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.000000,0.458333,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.364583,0.541667,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.375000,0.541667,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,none,global_full_canvas,0.000000,0.458333,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.000000,0.458333,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.375000,0.541667,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.375000,0.583333,0.000000,39.5546,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.500000,0.500000,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.177083,0.500000,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.166667,0.458333,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.468750,0.458333,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,must_mer_resize,0.166667,0.541667,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.302083,0.500000,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,none,global_full_canvas,0.479167,0.458333,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.510417,0.458333,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0.281250,0.416667,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.291667,0.458333,0.000000,42.0240,3
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,jpeg_q50,global_full_canvas,0.000000,0.437500,0.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,jpeg_q50,must_mer_resize,0.296875,0.562500,0.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,jpeg_q50,oracle_box_raw,0.328125,0.625000,0.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,jpeg_q70,global_full_canvas,0.000000,0.437500,0.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,jpeg_q70,must_mer_resize,0.625000,0.875000,0.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,jpeg_q70,oracle_box_raw,0.625000,0.875000,0.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,none,global_full_canvas,0.000000,0.437500,0.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,40.3906,2
full_material_s2.5,rep4_adjacent_8bit,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.531250,0.562500,0.000000,40.3906,2
