code_mode,scheme,scenario,attack,decode_method,source_idx,source_image,target_payload,decoded_payload,target_message,predicted_message,bit_accuracy,payload_accuracy,payload_success,mask_pixels,used_fallback,composite_psnr,box
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000000000000,0.000000,0.375000,0,4,1,40.3374,"166,36,342,212"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000001000010,0.437500,0.375000,0,157,0,40.3374,"166,36,342,212"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000001000010,0.437500,0.375000,0,313,0,40.3374,"166,36,342,212"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q50,global_full_canvas,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00000000000000000000000000000000,0.000000,0.500000,0,4,1,40.3374,"300,244,484,428"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q50,oracle_box_raw,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00000000000000000000000000000000,0.000000,0.500000,0,0,1,40.3374,"300,244,484,428"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,jpeg_q50,must_mer_resize,2,gauguin_256.jpg,01100101,00000000,00001111111100000000111100001111,00000000000000000000000000000000,0.000000,0.500000,0,0,1,40.3374,"300,244,484,428"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000000000000,0.000000,0.500000,0,0,1,40.3374,"40,280,216,456"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000001000000,0.468750,0.500000,0,900,0,40.3374,"40,280,216,456"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0,alpaca.jpg,11001100,00000000,11111111000000001111111100000000,00000000000000000000000001000000,0.468750,0.500000,0,423,0,40.3374,"40,280,216,456"
rep4_adjacent_8bit,single_center50_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,1,ducks.jpg,11010011,00000000,11111111000011110000000011111111,00000000000000000000000000000000,0.000000,0.375000,0,0,1,40.3374,"166,36,342,212"
