scheme,area_percent,block_count,attack,mean_bit_accuracy,min_bit_accuracy,message_success_rate,mean_psnr_watermarked,num_images
distributed_q30_9block,30,9,crop_center_50,0.566250,0.000000,0.000000,12.4879,50
distributed_q30_9block,30,9,crop_top_left_50,0.556875,0.000000,0.000000,12.4879,50
distributed_q30_9block,30,9,jpeg_q20,0.975000,0.906250,0.540000,12.4879,50
distributed_q30_9block,30,9,jpeg_q30,0.997500,0.968750,0.920000,12.4879,50
distributed_q30_9block,30,9,none,0.976875,0.906250,0.500000,12.4879,50
distributed_q30_9block,30,9,remove_center_40,0.995000,0.968750,0.840000,12.4879,50
distributed_q30_9block,30,9,resize_0.25_jpeg_q50,0.896875,0.781250,0.000000,12.4879,50
distributed_q50_5block,50,5,black_center_40,1.000000,1.000000,1.000000,10.2653,50
distributed_q50_5block,50,5,crop_bottom_right_50,0.546875,0.000000,0.000000,10.2653,50
distributed_q50_5block,50,5,crop_center_50,0.590000,0.562500,0.000000,10.2653,50
distributed_q50_5block,50,5,crop_top_left_50,0.527500,0.000000,0.000000,10.2653,50
distributed_q50_5block,50,5,jpeg_q20,0.998125,0.968750,0.940000,10.2653,50
distributed_q50_5block,50,5,jpeg_q30,1.000000,1.000000,1.000000,10.2653,50
distributed_q50_5block,50,5,none,0.999375,0.968750,0.980000,10.2653,50
distributed_q50_5block,50,5,remove_center_40,1.000000,1.000000,1.000000,10.2653,50
distributed_q50_5block,50,5,resize_0.25_jpeg_q50,0.902500,0.875000,0.000000,10.2653,50
distributed_q50_9block,50,9,black_center_40,0.999375,0.968750,0.980000,10.3010,50
distributed_q50_9block,50,9,crop_bottom_right_50,0.528750,0.000000,0.000000,10.3010,50
distributed_q50_9block,50,9,crop_center_50,0.566250,0.000000,0.000000,10.3010,50
distributed_q50_9block,50,9,crop_top_left_50,0.472500,0.000000,0.000000,10.3010,50
distributed_q50_9block,50,9,jpeg_q20,0.998125,0.937500,0.960000,10.3010,50
distributed_q50_9block,50,9,jpeg_q30,1.000000,1.000000,1.000000,10.3010,50
distributed_q50_9block,50,9,none,1.000000,1.000000,1.000000,10.3010,50
distributed_q50_9block,50,9,remove_center_40,0.998750,0.968750,0.960000,10.3010,50
distributed_q50_9block,50,9,resize_0.25_jpeg_q50,0.897500,0.875000,0.000000,10.3010,50
single_center_50pct,50,1,black_center_40,0.990000,0.968750,0.680000,10.1916,50
single_center_50pct,50,1,crop_bottom_right_50,0.585625,0.500000,0.000000,10.1916,50
single_center_50pct,50,1,crop_center_50,0.639375,0.531250,0.000000,10.1916,50
single_center_50pct,50,1,crop_top_left_50,0.582500,0.437500,0.000000,10.1916,50
single_center_50pct,50,1,jpeg_q20,0.988125,0.906250,0.680000,10.1916,50
single_center_50pct,50,1,jpeg_q30,0.998750,0.968750,0.960000,10.1916,50
single_center_50pct,50,1,none,1.000000,1.000000,1.000000,10.1916,50
single_center_50pct,50,1,remove_center_40,0.976250,0.937500,0.280000,10.1916,50
single_center_50pct,50,1,resize_0.25_jpeg_q50,0.883750,0.843750,0.000000,10.1916,50
