image,scheme,scaling_w,area_percent,block_count,coding,attack,payload,decoded_payload,payload_accuracy,payload_success,full_message,predicted_full_message,full_bit_accuracy,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
000000089648.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.2733,15.2709,21257,0
000000089648.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1101001010,0.800000,0,10010010111000001111010000001001,11010010101000001111010000001001,0.937500,12.2733,16.3497,21156,0
000000092177.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.8801,12.8801,20520,0
000000092177.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.000000,12.8801,7.1512,0,1
000000092177.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_center_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.8801,7.0469,9595,0
000000092177.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q30,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001111010000001001,1.000000,12.8801,15.1106,20600,0
000000092177.png,distributed_q30_5block,2.5000,30,5,uncoded10,jpeg_q20,1001001011,1101001000,0.700000,0,10010010111000001111010000001001,11010010001000001111010000001001,0.906250,12.8801,15.2910,20942,0
000000092177.png,distributed_q30_5block,2.5000,30,5,uncoded10,resize_0.25_jpeg_q50,1001001011,1100001010,0.700000,0,10010010111000001111010000001001,11000010101000001111010000001001,0.906250,12.8801,15.6921,21527,0
000000098392.png,distributed_q30_5block,2.5000,30,5,uncoded10,none,1001001011,1001001011,1.000000,1,10010010111000001111010000001001,10010010111000001011010000001001,0.968750,12.6447,12.6447,20437,0
000000098392.png,distributed_q30_5block,2.5000,30,5,uncoded10,crop_bottom_right_50,1001001011,0000000000,0.500000,0,10010010111000001111010000001001,00000000000000000000000000000000,0.593750,12.6447,7.0070,62,0
