image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000098392.png,center_crop_0.5,multi_scale,1.000000,1,10.3808,7.0581,0.50
000000098392.png,center_crop_0.75,single_scale,0.531250,0,10.3808,7.8475,1.0
000000098392.png,center_crop_0.75,multi_scale,1.000000,1,10.3808,7.8475,0.75
000000098392.png,random_crop_0.5,single_scale,0.406250,0,10.3808,6.6704,1.0
000000098392.png,random_crop_0.5,multi_scale,0.750000,0,10.3808,6.6704,0.50
000000098392.png,jpeg_q30,single_scale,1.000000,1,10.3808,12.9899,1.0
000000098392.png,jpeg_q30,multi_scale,1.000000,1,10.3808,12.9899,1.00
000000098520.png,none,single_scale,1.000000,1,10.2634,10.2634,1.0
000000098520.png,none,multi_scale,1.000000,1,10.2634,10.2634,1.00
000000098520.png,center_crop_0.5,single_scale,0.500000,0,10.2634,7.7319,1.0
000000098520.png,center_crop_0.5,multi_scale,1.000000,1,10.2634,7.7319,0.50
000000098520.png,center_crop_0.75,single_scale,0.531250,0,10.2634,9.2153,1.0
000000098520.png,center_crop_0.75,multi_scale,1.000000,1,10.2634,9.2153,0.75
000000098520.png,random_crop_0.5,single_scale,0.500000,0,10.2634,8.0696,1.0
000000098520.png,random_crop_0.5,multi_scale,0.593750,0,10.2634,8.0696,0.50
000000098520.png,jpeg_q30,single_scale,1.000000,1,10.2634,12.9957,1.0
000000098520.png,jpeg_q30,multi_scale,1.000000,1,10.2634,12.9957,1.00
000000107554.png,none,single_scale,1.000000,1,10.1989,10.1989,1.0
000000107554.png,none,multi_scale,1.000000,1,10.1989,10.1989,1.00
000000107554.png,center_crop_0.5,single_scale,0.500000,0,10.1989,7.3615,1.0
000000107554.png,center_crop_0.5,multi_scale,1.000000,1,10.1989,7.3615,0.50
000000107554.png,center_crop_0.75,single_scale,0.500000,0,10.1989,8.1657,1.0
000000107554.png,center_crop_0.75,multi_scale,1.000000,1,10.1989,8.1657,0.75
000000107554.png,random_crop_0.5,single_scale,0.531250,0,10.1989,7.0688,1.0
000000107554.png,random_crop_0.5,multi_scale,0.656250,0,10.1989,7.0688,0.50
000000107554.png,jpeg_q30,single_scale,1.000000,1,10.1989,12.8921,1.0
000000107554.png,jpeg_q30,multi_scale,1.000000,1,10.1989,12.8921,1.00
000000121673.png,none,single_scale,1.000000,1,9.9752,9.9752,1.0
000000121673.png,none,multi_scale,1.000000,1,9.9752,9.9752,1.00
000000121673.png,center_crop_0.5,single_scale,0.500000,0,9.9752,6.9265,1.0
000000121673.png,center_crop_0.5,multi_scale,1.000000,1,9.9752,6.9265,0.50
000000121673.png,center_crop_0.75,single_scale,0.531250,0,9.9752,7.8314,1.0
000000121673.png,center_crop_0.75,multi_scale,1.000000,1,9.9752,7.8314,0.75
000000121673.png,random_crop_0.5,single_scale,0.500000,0,9.9752,7.1828,1.0
000000121673.png,random_crop_0.5,multi_scale,0.812500,0,9.9752,7.1828,0.50
000000121673.png,jpeg_q30,single_scale,1.000000,1,9.9752,12.9217,1.0
000000121673.png,jpeg_q30,multi_scale,1.000000,1,9.9752,12.9217,1.00
000000134322.png,none,single_scale,1.000000,1,10.5075,10.5075,1.0
000000134322.png,none,multi_scale,1.000000,1,10.5075,10.5075,1.00
000000134322.png,center_crop_0.5,single_scale,0.500000,0,10.5075,7.4919,1.0
000000134322.png,center_crop_0.5,multi_scale,1.000000,1,10.5075,7.4919,0.50
000000134322.png,center_crop_0.75,single_scale,0.531250,0,10.5075,8.9362,1.0
000000134322.png,center_crop_0.75,multi_scale,1.000000,1,10.5075,8.9362,0.75
000000134322.png,random_crop_0.5,single_scale,0.562500,0,10.5075,8.2535,1.0
000000134322.png,random_crop_0.5,multi_scale,0.812500,0,10.5075,8.2535,0.50
000000134322.png,jpeg_q30,single_scale,1.000000,1,10.5075,12.9889,1.0
000000134322.png,jpeg_q30,multi_scale,1.000000,1,10.5075,12.9889,1.00
000000150649.png,none,single_scale,1.000000,1,9.7372,9.7372,1.0
000000150649.png,none,multi_scale,1.000000,1,9.7372,9.7372,1.00
000000150649.png,center_crop_0.5,single_scale,0.500000,0,9.7372,6.8901,1.0
000000150649.png,center_crop_0.5,multi_scale,1.000000,1,9.7372,6.8901,0.50
000000150649.png,center_crop_0.75,single_scale,0.531250,0,9.7372,8.2106,1.0
000000150649.png,center_crop_0.75,multi_scale,1.000000,1,9.7372,8.2106,0.75
000000150649.png,random_crop_0.5,single_scale,0.625000,0,9.7372,7.2021,1.0
000000150649.png,random_crop_0.5,multi_scale,0.750000,0,9.7372,7.2021,0.50
000000150649.png,jpeg_q30,single_scale,1.000000,1,9.7372,12.8317,1.0
000000150649.png,jpeg_q30,multi_scale,1.000000,1,9.7372,12.8317,1.00
000000154000.png,none,single_scale,1.000000,1,10.2240,10.2240,1.0
000000154000.png,none,multi_scale,1.000000,1,10.2240,10.2240,1.00
000000154000.png,center_crop_0.5,single_scale,0.500000,0,10.2240,6.2151,1.0
000000154000.png,center_crop_0.5,multi_scale,1.000000,1,10.2240,6.2151,0.50
000000154000.png,center_crop_0.75,single_scale,0.531250,0,10.2240,7.6719,1.0
000000154000.png,center_crop_0.75,multi_scale,1.000000,1,10.2240,7.6719,0.75
000000154000.png,random_crop_0.5,single_scale,0.500000,0,10.2240,6.1328,1.0
000000154000.png,random_crop_0.5,multi_scale,0.500000,0,10.2240,6.1328,1.00
000000154000.png,jpeg_q30,single_scale,1.000000,1,10.2240,12.9862,1.0
000000154000.png,jpeg_q30,multi_scale,1.000000,1,10.2240,12.9862,1.00
000000186632.png,none,single_scale,1.000000,1,10.1591,10.1591,1.0
000000186632.png,none,multi_scale,1.000000,1,10.1591,10.1591,1.00
000000186632.png,center_crop_0.5,single_scale,0.500000,0,10.1591,7.1500,1.0
000000186632.png,center_crop_0.5,multi_scale,1.000000,1,10.1591,7.1500,0.50
000000186632.png,center_crop_0.75,single_scale,0.531250,0,10.1591,7.8929,1.0
000000186632.png,center_crop_0.75,multi_scale,1.000000,1,10.1591,7.8929,0.75
000000186632.png,random_crop_0.5,single_scale,0.500000,0,10.1591,6.5228,1.0
000000186632.png,random_crop_0.5,multi_scale,0.937500,0,10.1591,6.5228,0.50
000000186632.png,jpeg_q30,single_scale,1.000000,1,10.1591,12.9004,1.0
000000186632.png,jpeg_q30,multi_scale,1.000000,1,10.1591,12.9004,1.00
000000201775.png,none,single_scale,1.000000,1,9.9217,9.9217,1.0
000000201775.png,none,multi_scale,1.000000,1,9.9217,9.9217,1.00
000000201775.png,center_crop_0.5,single_scale,0.500000,0,9.9217,6.6920,1.0
000000201775.png,center_crop_0.5,multi_scale,1.000000,1,9.9217,6.6920,0.50
000000201775.png,center_crop_0.75,single_scale,0.500000,0,9.9217,7.4504,1.0
000000201775.png,center_crop_0.75,multi_scale,1.000000,1,9.9217,7.4504,0.75
000000201775.png,random_crop_0.5,single_scale,0.500000,0,9.9217,8.1516,1.0
000000201775.png,random_crop_0.5,multi_scale,0.500000,0,9.9217,8.1516,1.00
000000201775.png,jpeg_q30,single_scale,1.000000,1,9.9217,12.9820,1.0
000000201775.png,jpeg_q30,multi_scale,1.000000,1,9.9217,12.9820,1.00
000000205647.png,none,single_scale,1.000000,1,9.8941,9.8941,1.0
000000205647.png,none,multi_scale,1.000000,1,9.8941,9.8941,1.00
000000205647.png,center_crop_0.5,single_scale,0.500000,0,9.8941,7.1636,1.0
000000205647.png,center_crop_0.5,multi_scale,1.000000,1,9.8941,7.1636,0.50
000000205647.png,center_crop_0.75,single_scale,0.531250,0,9.8941,7.9019,1.0
000000205647.png,center_crop_0.75,multi_scale,1.000000,1,9.8941,7.9019,0.75
000000205647.png,random_crop_0.5,single_scale,0.500000,0,9.8941,6.9692,1.0
000000205647.png,random_crop_0.5,multi_scale,0.718750,0,9.8941,6.9692,0.50
000000205647.png,jpeg_q30,single_scale,1.000000,1,9.8941,12.7337,1.0
000000205647.png,jpeg_q30,multi_scale,1.000000,1,9.8941,12.7337,1.00
000000207306.png,none,single_scale,1.000000,1,10.0106,10.0106,1.0
000000207306.png,none,multi_scale,1.000000,1,10.0106,10.0106,1.00
000000207306.png,center_crop_0.5,single_scale,0.500000,0,10.0106,6.9930,1.0
000000207306.png,center_crop_0.5,multi_scale,1.000000,1,10.0106,6.9930,0.50
000000207306.png,center_crop_0.75,single_scale,0.531250,0,10.0106,8.7353,1.0
000000207306.png,center_crop_0.75,multi_scale,1.000000,1,10.0106,8.7353,0.75
000000207306.png,random_crop_0.5,single_scale,0.437500,0,10.0106,8.4535,1.0
000000207306.png,random_crop_0.5,multi_scale,0.625000,0,10.0106,8.4535,0.50
000000207306.png,jpeg_q30,single_scale,1.000000,1,10.0106,12.8841,1.0
000000207306.png,jpeg_q30,multi_scale,1.000000,1,10.0106,12.8841,1.00
000000210299.png,none,single_scale,1.000000,1,10.0326,10.0326,1.0
000000210299.png,none,multi_scale,1.000000,1,10.0326,10.0326,1.00
000000210299.png,center_crop_0.5,single_scale,0.500000,0,10.0326,6.9366,1.0
000000210299.png,center_crop_0.5,multi_scale,1.000000,1,10.0326,6.9366,0.50
000000210299.png,center_crop_0.75,single_scale,0.531250,0,10.0326,8.3466,1.0
000000210299.png,center_crop_0.75,multi_scale,1.000000,1,10.0326,8.3466,0.75
000000210299.png,random_crop_0.5,single_scale,0.468750,0,10.0326,8.6234,1.0
000000210299.png,random_crop_0.5,multi_scale,0.812500,0,10.0326,8.6234,0.50
000000210299.png,jpeg_q30,single_scale,1.000000,1,10.0326,12.9627,1.0
000000210299.png,jpeg_q30,multi_scale,1.000000,1,10.0326,12.9627,1.00
000000219440.png,none,single_scale,1.000000,1,10.4322,10.4322,1.0
