attack,mean_bit_accuracy,message_success_rate,num_samples,method
rotate_266,0.947917,0.0000,3,angle_scan
rotate_267,0.912500,0.0000,5,angle_scan
rotate_268,0.895833,0.0000,3,angle_scan
rotate_269,0.833333,0.0000,3,angle_scan
rotate_27,0.843750,0.0000,1,angle_scan
rotate_270,0.781250,0.0000,4,angle_scan
rotate_271,0.843750,0.0000,1,angle_scan
rotate_272,0.851562,0.0000,4,angle_scan
rotate_273,0.895833,0.0000,3,angle_scan
rotate_274,0.906250,0.0000,1,angle_scan
rotate_276,0.929688,0.0000,4,angle_scan
rotate_277,0.937500,0.0000,1,angle_scan
rotate_279,0.979167,0.3333,3,angle_scan
rotate_28,0.837500,0.0000,5,angle_scan
rotate_280,1.000000,1.0000,4,angle_scan
rotate_281,0.987500,0.6000,5,angle_scan
rotate_282,0.975000,0.4000,5,angle_scan
rotate_283,0.921875,0.0000,2,angle_scan
rotate_284,0.937500,0.0000,3,angle_scan
rotate_285,0.968750,0.0000,1,angle_scan
rotate_286,0.906250,0.0000,1,angle_scan
rotate_287,0.914062,0.0000,4,angle_scan
rotate_288,0.843750,0.0000,2,angle_scan
rotate_290,0.781250,0.0000,1,angle_scan
rotate_291,0.781250,0.0000,2,angle_scan
rotate_292,0.875000,0.0000,2,angle_scan
rotate_293,0.812500,0.0000,2,angle_scan
rotate_294,0.895833,0.0000,3,angle_scan
rotate_295,0.921875,0.0000,2,angle_scan
rotate_297,0.968750,0.0000,1,angle_scan
rotate_298,0.953125,0.0000,2,angle_scan
rotate_299,0.968750,0.0000,1,angle_scan
rotate_3,0.890625,0.0000,4,angle_scan
rotate_30,0.781250,0.0000,1,angle_scan
rotate_300,1.000000,1.0000,3,angle_scan
rotate_301,0.984375,0.5000,2,angle_scan
rotate_302,0.957031,0.0000,8,angle_scan
rotate_303,0.960938,0.0000,4,angle_scan
rotate_304,0.937500,0.0000,5,angle_scan
rotate_305,0.906250,0.0000,1,angle_scan
rotate_306,0.921875,0.0000,2,angle_scan
rotate_307,0.921875,0.0000,2,angle_scan
rotate_308,0.890625,0.0000,2,angle_scan
rotate_309,0.791667,0.0000,3,angle_scan
rotate_31,0.781250,0.0000,1,angle_scan
rotate_310,0.781250,0.0000,2,angle_scan
rotate_311,0.796875,0.0000,4,angle_scan
rotate_312,0.831250,0.0000,5,angle_scan
rotate_313,0.906250,0.0000,1,angle_scan
rotate_314,0.927083,0.0000,3,angle_scan
rotate_315,0.931250,0.0000,5,angle_scan
rotate_316,0.921875,0.0000,2,angle_scan
rotate_317,0.953125,0.0000,6,angle_scan
rotate_318,0.975000,0.4000,5,angle_scan
rotate_319,0.989583,0.6667,3,angle_scan
rotate_32,0.833333,0.0000,3,angle_scan
rotate_320,1.000000,1.0000,2,angle_scan
rotate_322,0.968750,0.0000,1,angle_scan
rotate_323,0.937500,0.0000,5,angle_scan
rotate_324,0.937500,0.0000,3,angle_scan
rotate_325,0.906250,0.0000,4,angle_scan
rotate_326,0.953125,0.0000,2,angle_scan
rotate_327,0.881250,0.0000,5,angle_scan
rotate_328,0.812500,0.0000,1,angle_scan
rotate_329,0.760417,0.0000,6,angle_scan
rotate_33,0.882812,0.0000,4,angle_scan
rotate_330,0.812500,0.0000,2,angle_scan
rotate_331,0.796875,0.0000,2,angle_scan
rotate_333,0.906250,0.0000,1,angle_scan
rotate_334,0.882812,0.0000,4,angle_scan
rotate_335,0.937500,0.0000,2,angle_scan
rotate_336,0.885417,0.0000,3,angle_scan
rotate_337,0.937500,0.0000,4,angle_scan
rotate_338,0.937500,0.0000,1,angle_scan
rotate_339,0.975000,0.6000,5,angle_scan
rotate_34,0.906250,0.0000,6,angle_scan
rotate_340,1.000000,1.0000,2,angle_scan
rotate_341,0.994792,0.8333,6,angle_scan
rotate_343,0.937500,0.0000,4,angle_scan
rotate_344,0.953125,0.0000,2,angle_scan
rotate_345,0.958333,0.0000,6,angle_scan
rotate_346,0.937500,0.0000,2,angle_scan
rotate_347,0.875000,0.0000,2,angle_scan
rotate_348,0.812500,0.0000,8,angle_scan
rotate_349,0.812500,0.0000,3,angle_scan
rotate_35,0.937500,0.0000,2,angle_scan
rotate_350,0.750000,0.0000,1,angle_scan
rotate_351,0.734375,0.0000,2,angle_scan
rotate_352,0.781250,0.0000,1,angle_scan
rotate_353,0.835938,0.0000,4,angle_scan
rotate_354,0.843750,0.0000,2,angle_scan
rotate_355,0.875000,0.0000,1,angle_scan
rotate_356,0.859375,0.0000,4,angle_scan
rotate_357,0.906250,0.0000,1,angle_scan
rotate_358,0.921875,0.0000,2,angle_scan
rotate_36,0.937500,0.0000,2,angle_scan
rotate_37,0.937500,0.0000,4,angle_scan
rotate_38,0.971875,0.5000,10,angle_scan
rotate_39,0.968750,0.5000,4,angle_scan
rotate_4,0.856250,0.0000,5,angle_scan
rotate_40,1.000000,1.0000,1,angle_scan
rotate_43,0.958333,0.0000,3,angle_scan
rotate_44,0.937500,0.0000,1,angle_scan
rotate_45,0.937500,0.0000,6,angle_scan
rotate_45_crop_50,0.763005,0.0000,334,angle_scan
rotate_46,0.916667,0.0000,6,angle_scan
rotate_47,0.875000,0.0000,1,angle_scan
rotate_48,0.750000,0.0000,1,angle_scan
rotate_5,0.890625,0.0000,2,angle_scan
rotate_50,0.762500,0.0000,5,angle_scan
rotate_51,0.791667,0.0000,3,angle_scan
rotate_52,0.817708,0.0000,6,angle_scan
rotate_53,0.880208,0.0000,6,angle_scan
rotate_54,0.885417,0.0000,3,angle_scan
rotate_55,0.906250,0.0000,1,angle_scan
rotate_56,0.937500,0.0000,1,angle_scan
rotate_57,0.937500,0.0000,4,angle_scan
rotate_58,0.968750,0.0000,2,angle_scan
rotate_59,0.987500,0.6000,5,angle_scan
rotate_6,0.875000,0.0000,6,angle_scan
rotate_60,1.000000,1.0000,3,angle_scan
rotate_61,0.975000,0.4000,5,angle_scan
rotate_62,0.958333,0.1667,6,angle_scan
rotate_63,0.968750,0.0000,1,angle_scan
rotate_64,0.937500,0.0000,3,angle_scan
rotate_65,0.843750,0.0000,1,angle_scan
rotate_66,0.937500,0.0000,2,angle_scan
rotate_67,0.906250,0.0000,1,angle_scan
rotate_68,0.875000,0.0000,1,angle_scan
rotate_69,0.812500,0.0000,1,angle_scan
rotate_7,0.833333,0.0000,3,angle_scan
rotate_72,0.843750,0.0000,2,angle_scan
rotate_73,0.843750,0.0000,1,angle_scan
rotate_74,0.906250,0.0000,5,angle_scan
rotate_75,0.921875,0.0000,4,angle_scan
rotate_76,0.906250,0.0000,2,angle_scan
rotate_77,0.947917,0.0000,3,angle_scan
rotate_78,0.953125,0.0000,2,angle_scan
rotate_79,0.968750,0.0000,1,angle_scan
rotate_8,0.812500,0.0000,4,angle_scan
rotate_80,1.000000,1.0000,3,angle_scan
rotate_81,0.968750,0.0000,1,angle_scan
rotate_82,1.000000,1.0000,1,angle_scan
rotate_83,0.958333,0.0000,3,angle_scan
rotate_84,0.937500,0.0000,2,angle_scan
rotate_85,0.937500,0.0000,3,angle_scan
rotate_86,0.937500,0.0000,1,angle_scan
rotate_87,0.968750,0.0000,1,angle_scan
rotate_88,0.875000,0.0000,3,angle_scan
rotate_89,0.864583,0.0000,3,angle_scan
rotate_9,0.765625,0.0000,2,angle_scan
rotate_90,0.812500,0.0000,1,angle_scan
rotate_91,0.822917,0.0000,3,angle_scan
rotate_92,0.843750,0.0000,2,angle_scan
rotate_93,0.875000,0.0000,2,angle_scan
rotate_94,0.929688,0.0000,4,angle_scan
rotate_95,0.945312,0.2500,4,angle_scan
rotate_96,0.906250,0.0000,4,angle_scan
rotate_97,0.960938,0.2500,4,angle_scan
rotate_98,0.987500,0.8000,5,angle_scan
rotate_99,1.000000,1.0000,2,angle_scan
