image,attack,bit_accuracy,message_success,ecc_mode,payload_bits
000000350002.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350002.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350002.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350002.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000350002.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350003.png,none,1.000000,1,rep4_interleaved,8
000000350003.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350003.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350003.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000350003.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350003.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350003.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350003.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350003.png,resize_0.25,1.000000,1,rep4_interleaved,8
000000350003.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350019.png,none,1.000000,1,rep4_interleaved,8
000000350019.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350019.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350019.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000350019.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350019.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350019.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350019.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350019.png,resize_0.25,1.000000,1,rep4_interleaved,8
000000350019.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350023.png,none,1.000000,1,rep4_interleaved,8
000000350023.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350023.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350023.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000350023.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350023.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350023.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350023.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350023.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000350023.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350054.png,none,1.000000,1,rep4_interleaved,8
000000350054.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350054.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350054.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000350054.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350054.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350054.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350054.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350054.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000350054.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350122.png,none,1.000000,1,rep4_interleaved,8
000000350122.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350122.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350122.png,random_crop_0.5,0.875000,0,rep4_interleaved,8
000000350122.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350122.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350122.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350122.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350122.png,resize_0.25,1.000000,1,rep4_interleaved,8
000000350122.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350148.png,none,1.000000,1,rep4_interleaved,8
000000350148.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350148.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350148.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000350148.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350148.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350148.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350148.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350148.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000350148.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350388.png,none,1.000000,1,rep4_interleaved,8
000000350388.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350388.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350388.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000350388.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350388.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350388.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350388.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350388.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000350388.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350405.png,none,1.000000,1,rep4_interleaved,8
000000350405.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350405.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350405.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000350405.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350405.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350405.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350405.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350405.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000350405.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350488.png,none,1.000000,1,rep4_interleaved,8
000000350488.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350488.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350488.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000350488.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350488.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350488.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350488.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350488.png,resize_0.25,0.750000,0,rep4_interleaved,8
000000350488.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350607.png,none,1.000000,1,rep4_interleaved,8
000000350607.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350607.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350607.png,random_crop_0.5,0.750000,0,rep4_interleaved,8
000000350607.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350607.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350607.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350607.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350607.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000350607.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350679.png,none,1.000000,1,rep4_interleaved,8
000000350679.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350679.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350679.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
000000350679.png,jpeg_q30,1.000000,1,rep4_interleaved,8
000000350679.png,jpeg_q10,1.000000,1,rep4_interleaved,8
000000350679.png,jpeg_q5,1.000000,1,rep4_interleaved,8
000000350679.png,resize_0.5,1.000000,1,rep4_interleaved,8
000000350679.png,resize_0.25,0.875000,0,rep4_interleaved,8
000000350679.png,crop_50_jpeg_30,1.000000,1,rep4_interleaved,8
000000350833.png,none,1.000000,1,rep4_interleaved,8
000000350833.png,center_crop_0.5,1.000000,1,rep4_interleaved,8
000000350833.png,center_crop_0.75,1.000000,1,rep4_interleaved,8
000000350833.png,random_crop_0.5,1.000000,1,rep4_interleaved,8
