scheme,code_mode,scenario,attack,decode_method,mean_bit_accuracy,mean_payload_accuracy,payload_success_rate,mean_composite_psnr,num_source_rows
full_material_s2.5,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.453125,0.453125,0.000000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,localized_resize,0.953125,0.953125,0.000000,14.1362,2
full_material_s2.5,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.953125,0.953125,0.000000,14.1362,2
full_material_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.468750,0.468750,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q50,localized_resize,0.697917,0.697917,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.697917,0.697917,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.468750,0.468750,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q70,localized_resize,0.739583,0.739583,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.739583,0.739583,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,none,global_full_canvas,0.489583,0.489583,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,none,localized_resize,0.791667,0.791667,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,none,oracle_box_raw,0.791667,0.791667,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.468750,0.468750,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,localized_resize,0.718750,0.718750,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.718750,0.718750,0.000000,11.6497,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.000000,0.531250,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,jpeg_q50,localized_resize,0.739583,0.739583,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.739583,0.739583,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.000000,0.531250,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,jpeg_q70,localized_resize,0.750000,0.750000,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.750000,0.750000,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,none,global_full_canvas,0.000000,0.531250,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,none,localized_resize,0.718750,0.718750,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,none,oracle_box_raw,0.718750,0.718750,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.531250,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,localized_resize,0.520833,0.677083,0.000000,13.9100,3
full_material_s3.0,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.520833,0.677083,0.000000,13.9100,3
full_material_s3.0,identity_32bit,two_sources_downsize,jpeg_q50,global_full_canvas,0.453125,0.453125,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,jpeg_q50,localized_resize,0.968750,0.968750,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,jpeg_q50,oracle_box_raw,0.968750,0.968750,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,jpeg_q70,global_full_canvas,0.453125,0.453125,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,jpeg_q70,localized_resize,0.968750,0.968750,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,jpeg_q70,oracle_box_raw,0.968750,0.968750,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,none,global_full_canvas,0.453125,0.453125,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,none,localized_resize,0.968750,0.968750,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,none,oracle_box_raw,0.968750,0.968750,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.453125,0.453125,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,localized_resize,0.968750,0.968750,0.000000,12.8932,2
full_material_s3.0,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.968750,0.968750,0.000000,12.8932,2
single_center50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.489583,0.489583,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q50,localized_resize,0.697917,0.697917,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.697917,0.697917,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.447917,0.447917,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q70,localized_resize,0.718750,0.718750,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.718750,0.718750,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,none,global_full_canvas,0.479167,0.479167,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,none,localized_resize,0.760417,0.760417,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,none,oracle_box_raw,0.760417,0.760417,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.447917,0.447917,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,localized_resize,0.645833,0.645833,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.645833,0.645833,0.000000,13.4512,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.531250,0.531250,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q50,localized_resize,0.677083,0.677083,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.677083,0.677083,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.531250,0.531250,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q70,localized_resize,0.802083,0.802083,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.802083,0.802083,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,none,global_full_canvas,0.531250,0.531250,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,none,localized_resize,0.718750,0.718750,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,none,oracle_box_raw,0.718750,0.718750,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.531250,0.531250,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,localized_resize,0.708333,0.708333,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.708333,0.708333,0.000000,16.3202,3
single_center50_s2.5,identity_32bit,two_sources_downsize,jpeg_q50,global_full_canvas,0.453125,0.453125,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,jpeg_q50,localized_resize,0.968750,0.968750,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,jpeg_q50,oracle_box_raw,0.968750,0.968750,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,jpeg_q70,global_full_canvas,0.453125,0.453125,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,jpeg_q70,localized_resize,0.968750,0.968750,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,jpeg_q70,oracle_box_raw,0.968750,0.968750,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,none,global_full_canvas,0.453125,0.453125,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,none,localized_resize,0.968750,0.968750,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,none,oracle_box_raw,0.968750,0.968750,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.453125,0.453125,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,localized_resize,0.937500,0.937500,0.000000,17.1979,2
single_center50_s2.5,identity_32bit,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.937500,0.937500,0.000000,17.1979,2
