scheme,scenario,attack,decode_method,mean_source_accuracy,min_source_accuracy,source_success_rate,mean_mask_pixels,mean_composite_psnr,num_source_rows
full_material_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,localized_resize,0.739583,0.687500,0.000000,51516.0,12.6963,3
full_material_s2.5,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.739583,0.687500,0.000000,51516.0,12.6963,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.395833,0.343750,0.000000,347.0,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q50,localized_resize,0.625000,0.375000,0.000000,46335.7,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.625000,0.375000,0.000000,46335.7,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q70,localized_resize,0.666667,0.406250,0.000000,63627.3,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.666667,0.406250,0.000000,63627.3,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,7.0,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,none,localized_resize,0.843750,0.656250,0.333333,65536.0,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,none,oracle_box_raw,0.843750,0.656250,0.333333,65536.0,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.395833,0.343750,0.000000,150.0,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,localized_resize,0.656250,0.343750,0.000000,43863.7,15.0150,3
full_material_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.656250,0.343750,0.000000,43863.7,15.0150,3
full_material_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,0.359375,0.343750,0.000000,67.0,14.1249,2
full_material_s2.5,two_sources_downsize,jpeg_q50,localized_resize,0.984375,0.968750,0.500000,65536.0,14.1249,2
full_material_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,0.984375,0.968750,0.500000,65536.0,14.1249,2
full_material_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,0.359375,0.343750,0.000000,10.0,14.1249,2
full_material_s2.5,two_sources_downsize,jpeg_q70,localized_resize,0.984375,0.968750,0.500000,65536.0,14.1249,2
full_material_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,0.984375,0.968750,0.500000,65536.0,14.1249,2
full_material_s2.5,two_sources_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,14.1249,2
full_material_s2.5,two_sources_downsize,none,localized_resize,0.984375,0.968750,0.500000,65536.0,14.1249,2
full_material_s2.5,two_sources_downsize,none,oracle_box_raw,0.984375,0.968750,0.500000,65536.0,14.1249,2
full_material_s2.5,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,14.1249,2
full_material_s2.5,two_sources_downsize,resize_0.5_jpeg70,localized_resize,0.953125,0.906250,0.500000,65536.0,14.1249,2
full_material_s2.5,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.953125,0.906250,0.500000,65536.0,14.1249,2
full_material_s3.0,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.406250,0.375000,0.000000,20517.0,11.6306,3
full_material_s3.0,three_sources_crop_feather,jpeg_q50,localized_resize,0.750000,0.593750,0.000000,40710.7,11.6306,3
full_material_s3.0,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.750000,0.593750,0.000000,40710.7,11.6306,3
full_material_s3.0,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.406250,0.375000,0.000000,20522.0,11.6306,3
full_material_s3.0,three_sources_crop_feather,jpeg_q70,localized_resize,0.822917,0.718750,0.000000,57647.0,11.6306,3
full_material_s3.0,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.822917,0.718750,0.000000,57647.0,11.6306,3
full_material_s3.0,three_sources_crop_feather,none,global_full_canvas,0.406250,0.375000,0.000000,18392.0,11.6306,3
full_material_s3.0,three_sources_crop_feather,none,localized_resize,0.802083,0.625000,0.000000,57840.3,11.6306,3
full_material_s3.0,three_sources_crop_feather,none,oracle_box_raw,0.802083,0.625000,0.000000,57840.3,11.6306,3
full_material_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.406250,0.375000,0.000000,21567.0,11.6306,3
full_material_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,localized_resize,0.760417,0.718750,0.000000,52293.0,11.6306,3
full_material_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.760417,0.718750,0.000000,52293.0,11.6306,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q50,localized_resize,0.645833,0.375000,0.000000,61500.0,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.645833,0.375000,0.000000,61500.0,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q70,localized_resize,0.656250,0.375000,0.000000,63990.3,13.8765,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q70,oracle_box_raw,0.656250,0.375000,0.000000,63990.3,13.8765,3
