image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000219440.png,0.5,random_crop_0.5,0.500000,0,10.4365,8.2822
000000219440.png,0.5,jpeg_q30,1.000000,1,10.4365,13.0567
000000230166.png,0.5,none,1.000000,1,10.0146,10.0146
000000230166.png,0.5,center_crop_0.5,0.500000,0,10.0146,7.1124
000000230166.png,0.5,center_crop_0.75,0.625000,0,10.0146,7.6534
000000230166.png,0.5,random_crop_0.5,0.500000,0,10.0146,7.2886
000000230166.png,0.5,jpeg_q30,1.000000,1,10.0146,12.9894
000000249180.png,0.5,none,1.000000,1,9.9383,9.9383
000000249180.png,0.5,center_crop_0.5,0.500000,0,9.9383,6.4929
000000249180.png,0.5,center_crop_0.75,0.687500,0,9.9383,6.9376
000000249180.png,0.5,random_crop_0.5,0.531250,0,9.9383,7.5438
000000249180.png,0.5,jpeg_q30,1.000000,1,9.9383,12.7888
000000260657.png,0.5,none,1.000000,1,10.3246,10.3246
000000260657.png,0.5,center_crop_0.5,0.500000,0,10.3246,6.2740
000000260657.png,0.5,center_crop_0.75,0.781250,0,10.3246,6.9016
000000260657.png,0.5,random_crop_0.5,0.531250,0,10.3246,6.9338
000000260657.png,0.5,jpeg_q30,0.968750,0,10.3246,12.9137
000000262938.png,0.5,none,1.000000,1,10.1354,10.1354
000000262938.png,0.5,center_crop_0.5,0.500000,0,10.1354,6.1654
000000262938.png,0.5,center_crop_0.75,0.656250,0,10.1354,6.3786
000000262938.png,0.5,random_crop_0.5,0.500000,0,10.1354,5.9490
000000262938.png,0.5,jpeg_q30,1.000000,1,10.1354,12.9052
000000263299.png,0.5,none,1.000000,1,10.2170,10.2170
000000263299.png,0.5,center_crop_0.5,0.500000,0,10.2170,6.7579
000000263299.png,0.5,center_crop_0.75,0.625000,0,10.2170,7.4989
000000263299.png,0.5,random_crop_0.5,0.531250,0,10.2170,6.7604
000000263299.png,0.5,jpeg_q30,1.000000,1,10.2170,12.9232
000000319617.png,0.5,none,1.000000,1,9.7874,9.7874
000000319617.png,0.5,center_crop_0.5,0.500000,0,9.7874,6.4627
000000319617.png,0.5,center_crop_0.75,0.562500,0,9.7874,7.3075
000000319617.png,0.5,random_crop_0.5,0.406250,0,9.7874,7.8215
000000319617.png,0.5,jpeg_q30,1.000000,1,9.7874,12.8891
000000322895.png,0.5,none,1.000000,1,10.2401,10.2401
000000322895.png,0.5,center_crop_0.5,0.500000,0,10.2401,7.3762
000000322895.png,0.5,center_crop_0.75,0.687500,0,10.2401,7.9395
000000322895.png,0.5,random_crop_0.5,0.437500,0,10.2401,8.2735
000000322895.png,0.5,jpeg_q30,1.000000,1,10.2401,12.9803
000000326128.png,0.5,none,1.000000,1,10.3774,10.3774
000000326128.png,0.5,center_crop_0.5,0.500000,0,10.3774,6.4802
000000326128.png,0.5,center_crop_0.75,0.687500,0,10.3774,7.5024
000000326128.png,0.5,random_crop_0.5,0.562500,0,10.3774,6.4280
000000326128.png,0.5,jpeg_q30,1.000000,1,10.3774,12.9179
000000341681.png,0.5,none,1.000000,1,9.5052,9.5052
000000341681.png,0.5,center_crop_0.5,0.500000,0,9.5052,7.0591
000000341681.png,0.5,center_crop_0.75,0.562500,0,9.5052,7.4397
000000341681.png,0.5,random_crop_0.5,0.500000,0,9.5052,8.5385
000000341681.png,0.5,jpeg_q30,1.000000,1,9.5052,12.8297
000000358427.png,0.5,none,1.000000,1,10.1993,10.1993
000000358427.png,0.5,center_crop_0.5,0.500000,0,10.1993,7.5461
000000358427.png,0.5,center_crop_0.75,0.562500,0,10.1993,8.0388
000000358427.png,0.5,random_crop_0.5,0.468750,0,10.1993,7.8267
000000358427.png,0.5,jpeg_q30,0.968750,0,10.1993,13.0452
000000360137.png,0.5,none,1.000000,1,10.6701,10.6701
000000360137.png,0.5,center_crop_0.5,0.500000,0,10.6701,7.5065
000000360137.png,0.5,center_crop_0.75,0.718750,0,10.6701,8.0197
000000360137.png,0.5,random_crop_0.5,0.593750,0,10.6701,8.5250
000000360137.png,0.5,jpeg_q30,1.000000,1,10.6701,12.9486
000000397681.png,0.5,none,1.000000,1,10.1787,10.1787
000000397681.png,0.5,center_crop_0.5,0.500000,0,10.1787,6.4279
000000397681.png,0.5,center_crop_0.75,0.531250,0,10.1787,6.7267
000000397681.png,0.5,random_crop_0.5,0.531250,0,10.1787,6.5060
000000397681.png,0.5,jpeg_q30,1.000000,1,10.1787,12.6065
000000400573.png,0.5,none,1.000000,1,9.9132,9.9132
000000400573.png,0.5,center_crop_0.5,0.500000,0,9.9132,6.8505
000000400573.png,0.5,center_crop_0.75,0.593750,0,9.9132,7.3537
