image,attack,bit_accuracy,message_success
000000276024.png,center_crop_0.5,1.000000,1
000000276024.png,center_crop_0.75,1.000000,1
000000276024.png,random_crop_0.5,0.700000,0
000000276024.png,jpeg_q30,1.000000,1
000000276055.png,none,1.000000,1
000000276055.png,center_crop_0.5,1.000000,1
000000276055.png,center_crop_0.75,1.000000,1
000000276055.png,random_crop_0.5,0.900000,0
000000276055.png,jpeg_q30,1.000000,1
000000276284.png,none,1.000000,1
000000276284.png,center_crop_0.5,1.000000,1
000000276284.png,center_crop_0.75,1.000000,1
000000276284.png,random_crop_0.5,0.900000,0
000000276284.png,jpeg_q30,1.000000,1
000000276285.png,none,1.000000,1
000000276285.png,center_crop_0.5,1.000000,1
000000276285.png,center_crop_0.75,1.000000,1
000000276285.png,random_crop_0.5,0.800000,0
000000276285.png,jpeg_q30,1.000000,1
000000276434.png,none,1.000000,1
000000276434.png,center_crop_0.5,1.000000,1
000000276434.png,center_crop_0.75,1.000000,1
000000276434.png,random_crop_0.5,0.700000,0
000000276434.png,jpeg_q30,1.000000,1
000000276707.png,none,1.000000,1
000000276707.png,center_crop_0.5,1.000000,1
000000276707.png,center_crop_0.75,1.000000,1
000000276707.png,random_crop_0.5,1.000000,1
000000276707.png,jpeg_q30,1.000000,1
