image,mask_ratio,attack,bit_accuracy,message_success,psnr_watermarked,psnr_attacked
000000025228.png,0.8,none,1.000000,1,8.0575,8.0575
000000025228.png,0.8,center_crop_0.5,0.500000,0,8.0575,7.5830
000000025228.png,0.8,center_crop_0.75,0.812500,0,8.0575,7.5481
000000025228.png,0.8,random_crop_0.5,0.531250,0,8.0575,6.5517
000000025228.png,0.8,jpeg_q30,1.000000,1,8.0575,10.8971
000000025228.png,0.9,none,1.000000,1,7.5159,7.5159
000000025228.png,0.9,center_crop_0.5,0.500000,0,7.5159,7.5830
000000025228.png,0.9,center_crop_0.75,0.812500,0,7.5159,7.5481
000000025228.png,0.9,random_crop_0.5,0.375000,0,7.5159,7.7625
000000025228.png,0.9,jpeg_q30,1.000000,1,7.5159,10.3387
000000025228.png,1.0,none,1.000000,1,7.0161,7.0161
000000025228.png,1.0,center_crop_0.5,0.500000,0,7.0161,7.5830
000000025228.png,1.0,center_crop_0.75,0.812500,0,7.0161,7.5481
000000025228.png,1.0,random_crop_0.5,0.500000,0,7.0161,6.8431
000000025228.png,1.0,jpeg_q30,1.000000,1,7.0161,9.8097
000000027620.png,0.5,none,1.000000,1,9.9764,9.9764
000000027620.png,0.5,center_crop_0.5,0.500000,0,9.9764,6.7739
000000027620.png,0.5,center_crop_0.75,0.656250,0,9.9764,7.1624
000000027620.png,0.5,random_crop_0.5,0.500000,0,9.9764,6.5731
000000027620.png,0.5,jpeg_q30,1.000000,1,9.9764,12.9910
000000027620.png,0.6,none,1.000000,1,9.2052,9.2052
000000027620.png,0.6,center_crop_0.5,0.500000,0,9.2052,6.7739
000000027620.png,0.6,center_crop_0.75,0.687500,0,9.2052,6.8127
000000027620.png,0.6,random_crop_0.5,0.562500,0,9.2052,7.4388
000000027620.png,0.6,jpeg_q30,1.000000,1,9.2052,12.2481
000000027620.png,0.7,none,1.000000,1,8.5454,8.5454
000000027620.png,0.7,center_crop_0.5,0.500000,0,8.5454,6.7739
000000027620.png,0.7,center_crop_0.75,0.687500,0,8.5454,6.8127
000000027620.png,0.7,random_crop_0.5,0.531250,0,8.5454,6.4601
000000027620.png,0.7,jpeg_q30,1.000000,1,8.5454,11.5860
000000027620.png,0.8,none,1.000000,1,8.0184,8.0184
000000027620.png,0.8,center_crop_0.5,0.500000,0,8.0184,6.7739
000000027620.png,0.8,center_crop_0.75,0.687500,0,8.0184,6.8127
000000027620.png,0.8,random_crop_0.5,0.500000,0,8.0184,6.8514
000000027620.png,0.8,jpeg_q30,1.000000,1,8.0184,11.0106
000000027620.png,0.9,none,1.000000,1,7.5375,7.5375
000000027620.png,0.9,center_crop_0.5,0.500000,0,7.5375,6.7739
000000027620.png,0.9,center_crop_0.75,0.687500,0,7.5375,6.8127
000000027620.png,0.9,random_crop_0.5,0.500000,0,7.5375,6.4857
000000027620.png,0.9,jpeg_q30,1.000000,1,7.5375,10.4776
000000027620.png,1.0,none,1.000000,1,7.0756,7.0756
000000027620.png,1.0,center_crop_0.5,0.500000,0,7.0756,6.7739
000000027620.png,1.0,center_crop_0.75,0.687500,0,7.0756,6.8127
000000027620.png,1.0,random_crop_0.5,0.437500,0,7.0756,6.3369
000000027620.png,1.0,jpeg_q30,1.000000,1,7.0756,9.9234
000000039405.png,0.5,none,1.000000,1,10.7925,10.7925
000000039405.png,0.5,center_crop_0.5,0.500000,0,10.7925,7.7974
