image,scaling_w,attack,message,predicted,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,mask_pixels,used_fallback
trex_bike.jpg,1.0000,center_crop_0.5,01000110001000101101011111111101,00000000000000000000000000000000,0.000000,0,47.0467,11.1404,0,1
alpaca.jpg,1.5000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,40.8301,40.8301,32756,0
alpaca.jpg,1.5000,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,40.8301,26.6153,32705,0
alpaca.jpg,1.5000,jpeg_q30,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,40.8301,25.6743,32826,0
alpaca.jpg,1.5000,jpeg_q20,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,40.8301,24.7577,32740,0
alpaca.jpg,1.5000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,40.8301,23.7996,32746,0
alpaca.jpg,1.5000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,40.8301,19.7535,32748,0
alpaca.jpg,1.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,40.8301,19.6993,32712,0
alpaca.jpg,1.5000,center_crop_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,40.8301,9.5376,50835,0
ducks.jpg,1.5000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,45.7735,45.7735,31705,0
ducks.jpg,1.5000,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,45.7735,34.0298,31881,0
ducks.jpg,1.5000,jpeg_q30,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,45.7735,32.6783,29729,0
ducks.jpg,1.5000,jpeg_q20,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,45.7735,31.3505,27117,0
ducks.jpg,1.5000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,45.7735,34.0151,31663,0
ducks.jpg,1.5000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,45.7735,29.2870,31727,0
ducks.jpg,1.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,45.7735,28.8912,31462,0
ducks.jpg,1.5000,center_crop_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,45.7735,10.8298,39601,0
gauguin_256.jpg,1.5000,none,01000110001000101101011111111101,01000110001000101101011111110101,0.968750,0,44.4330,44.4330,33026,0
gauguin_256.jpg,1.5000,jpeg_q50,01000110001000101101011111111101,10000010101100101101011111110101,0.812500,0,44.4330,31.6976,19938,0
gauguin_256.jpg,1.5000,jpeg_q30,01000110001000101101011111111101,00010100001100101101001011000001,0.687500,0,44.4330,29.9971,26364,0
gauguin_256.jpg,1.5000,jpeg_q20,01000110001000101101011111111101,00000000100000100001000110000001,0.562500,0,44.4330,28.6253,19661,0
gauguin_256.jpg,1.5000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111110101,0.968750,0,44.4330,33.5892,33131,0
gauguin_256.jpg,1.5000,resize_0.25,01000110001000101101011111111101,01100110001000101101011111110101,0.937500,0,44.4330,28.9478,33157,0
gauguin_256.jpg,1.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,10000110100100101101011011010101,0.750000,0,44.4330,27.9474,35519,0
gauguin_256.jpg,1.5000,center_crop_0.5,01000110001000101101011111111101,01000010001000001001011111010101,0.843750,0,44.4330,13.0419,26381,0
seabackground.jpg,1.5000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.4694,43.4694,32752,0
seabackground.jpg,1.5000,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.4694,27.3644,22936,0
seabackground.jpg,1.5000,jpeg_q30,01000110001000101101011111111101,11000110001000101101011011111101,0.937500,0,43.4694,25.2533,10554,0
seabackground.jpg,1.5000,jpeg_q20,01000110001000101101011111111101,00000010000100001000010011010011,0.593750,0,43.4694,23.8312,887,0
seabackground.jpg,1.5000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.4694,21.5790,32847,0
seabackground.jpg,1.5000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.4694,20.7245,32904,0
seabackground.jpg,1.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.4694,20.6785,22479,0
seabackground.jpg,1.5000,center_crop_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.4694,14.4092,53400,0
trex_bike.jpg,1.5000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.5353,43.5353,31883,0
trex_bike.jpg,1.5000,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.5353,31.5658,25024,0
trex_bike.jpg,1.5000,jpeg_q30,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.5353,29.8695,20593,0
trex_bike.jpg,1.5000,jpeg_q20,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.5353,28.5623,20471,0
trex_bike.jpg,1.5000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.5353,28.6753,31849,0
trex_bike.jpg,1.5000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.5353,24.7480,31905,0
trex_bike.jpg,1.5000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.5353,24.5533,24567,0
trex_bike.jpg,1.5000,center_crop_0.5,01000110001000101101011111111101,11110110101000101101001111011101,0.812500,0,43.5353,11.1399,24618,0
alpaca.jpg,2.0000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,38.3433,38.3433,32718,0
alpaca.jpg,2.0000,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,38.3433,26.5098,32726,0
alpaca.jpg,2.0000,jpeg_q30,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,38.3433,25.5924,32834,0
alpaca.jpg,2.0000,jpeg_q20,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,38.3433,24.6936,32651,0
alpaca.jpg,2.0000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,38.3433,23.7366,32730,0
alpaca.jpg,2.0000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,38.3433,19.7294,32726,0
alpaca.jpg,2.0000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,38.3433,19.6765,32767,0
alpaca.jpg,2.0000,center_crop_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,38.3433,9.5345,65536,0
ducks.jpg,2.0000,none,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.2903,43.2903,32396,0
ducks.jpg,2.0000,jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.2903,33.8560,32300,0
ducks.jpg,2.0000,jpeg_q30,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.2903,32.5569,31141,0
ducks.jpg,2.0000,jpeg_q20,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.2903,31.2625,29542,0
ducks.jpg,2.0000,resize_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.2903,33.8076,32342,0
ducks.jpg,2.0000,resize_0.25,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.2903,29.2189,32312,0
ducks.jpg,2.0000,resize_0.25_jpeg_q50,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.2903,28.8348,32183,0
ducks.jpg,2.0000,center_crop_0.5,01000110001000101101011111111101,01000110001000101101011111111101,1.000000,1,43.2903,10.8287,51864,0
