image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000158956.png,random_crop_0.5,single_scale,0.500000,0,10.3003,6.7625,1.0
000000158956.png,jpeg_q30,single_scale,1.000000,1,10.3003,12.9687,1.0
000000159112.png,none,single_scale,1.000000,1,10.1679,10.1679,1.0
000000159112.png,center_crop_0.5,single_scale,0.500000,0,10.1679,6.9247,1.0
000000159112.png,center_crop_0.75,single_scale,0.531250,0,10.1679,7.4321,1.0
000000159112.png,random_crop_0.5,single_scale,0.531250,0,10.1679,7.8072,1.0
000000159112.png,jpeg_q30,single_scale,1.000000,1,10.1679,12.8845,1.0
000000159282.png,none,single_scale,1.000000,1,10.7594,10.7594,1.0
000000159282.png,center_crop_0.5,single_scale,0.500000,0,10.7594,7.0536,1.0
000000159282.png,center_crop_0.75,single_scale,0.531250,0,10.7594,8.1484,1.0
000000159282.png,random_crop_0.5,single_scale,0.562500,0,10.7594,6.8457,1.0
000000159282.png,jpeg_q30,single_scale,1.000000,1,10.7594,12.8471,1.0
000000159311.png,none,single_scale,1.000000,1,9.8995,9.8995,1.0
000000159311.png,center_crop_0.5,single_scale,0.500000,0,9.8995,7.3890,1.0
000000159311.png,center_crop_0.75,single_scale,0.531250,0,9.8995,8.3270,1.0
000000159311.png,random_crop_0.5,single_scale,0.468750,0,9.8995,8.5146,1.0
000000159311.png,jpeg_q30,single_scale,1.000000,1,9.8995,12.7869,1.0
000000159399.png,none,single_scale,1.000000,1,10.3124,10.3124,1.0
000000159399.png,center_crop_0.5,single_scale,0.500000,0,10.3124,7.0981,1.0
000000159399.png,center_crop_0.75,single_scale,0.531250,0,10.3124,8.5238,1.0
000000159399.png,random_crop_0.5,single_scale,0.468750,0,10.3124,8.3870,1.0
000000159399.png,jpeg_q30,single_scale,1.000000,1,10.3124,13.0137,1.0
000000159458.png,none,single_scale,1.000000,1,9.8063,9.8063,1.0
000000159458.png,center_crop_0.5,single_scale,0.500000,0,9.8063,7.2345,1.0
000000159458.png,center_crop_0.75,single_scale,0.531250,0,9.8063,8.0942,1.0
000000159458.png,random_crop_0.5,single_scale,0.500000,0,9.8063,6.9395,1.0
000000159458.png,jpeg_q30,single_scale,1.000000,1,9.8063,12.8144,1.0
000000159684.png,none,single_scale,1.000000,1,9.9628,9.9628,1.0
000000159684.png,center_crop_0.5,single_scale,0.500000,0,9.9628,6.2708,1.0
000000159684.png,center_crop_0.75,single_scale,0.531250,0,9.9628,7.2817,1.0
000000159684.png,random_crop_0.5,single_scale,0.375000,0,9.9628,6.7458,1.0
000000159684.png,jpeg_q30,single_scale,1.000000,1,9.9628,12.8878,1.0
000000159791.png,none,single_scale,1.000000,1,9.8075,9.8075,1.0
000000159791.png,center_crop_0.5,single_scale,0.593750,0,9.8075,6.8011,1.0
000000159791.png,center_crop_0.75,single_scale,0.531250,0,9.8075,7.7077,1.0
000000159791.png,random_crop_0.5,single_scale,0.500000,0,9.8075,8.8311,1.0
000000159791.png,jpeg_q30,single_scale,1.000000,1,9.8075,12.7894,1.0
000000159977.png,none,single_scale,1.000000,1,10.1307,10.1307,1.0
000000159977.png,center_crop_0.5,single_scale,0.500000,0,10.1307,7.3456,1.0
000000159977.png,center_crop_0.75,single_scale,0.531250,0,10.1307,7.7675,1.0
000000159977.png,random_crop_0.5,single_scale,0.500000,0,10.1307,7.9845,1.0
000000159977.png,jpeg_q30,single_scale,1.000000,1,10.1307,13.0848,1.0
000000160012.png,none,single_scale,1.000000,1,10.5044,10.5044,1.0
000000160012.png,center_crop_0.5,single_scale,0.500000,0,10.5044,6.6400,1.0
000000160012.png,center_crop_0.75,single_scale,0.562500,0,10.5044,7.0763,1.0
000000160012.png,random_crop_0.5,single_scale,0.531250,0,10.5044,6.7688,1.0
000000160012.png,jpeg_q30,single_scale,1.000000,1,10.5044,12.7534,1.0
000000160556.png,none,single_scale,1.000000,1,10.3376,10.3376,1.0
000000160556.png,center_crop_0.5,single_scale,0.500000,0,10.3376,6.7056,1.0
000000160556.png,center_crop_0.75,single_scale,0.531250,0,10.3376,7.7114,1.0
000000160556.png,random_crop_0.5,single_scale,0.500000,0,10.3376,6.8816,1.0
000000160556.png,jpeg_q30,single_scale,1.000000,1,10.3376,12.9398,1.0
000000160666.png,none,single_scale,1.000000,1,9.7835,9.7835,1.0
000000160666.png,center_crop_0.5,single_scale,0.500000,0,9.7835,7.0754,1.0
000000160666.png,center_crop_0.75,single_scale,0.531250,0,9.7835,8.1753,1.0
000000160666.png,random_crop_0.5,single_scale,0.500000,0,9.7835,8.2148,1.0
000000160666.png,jpeg_q30,single_scale,1.000000,1,9.7835,12.9113,1.0
000000160728.png,none,single_scale,1.000000,1,10.2691,10.2691,1.0
000000160728.png,center_crop_0.5,single_scale,0.500000,0,10.2691,7.4256,1.0
000000160728.png,center_crop_0.75,single_scale,0.531250,0,10.2691,8.2508,1.0
000000160728.png,random_crop_0.5,single_scale,0.562500,0,10.2691,8.1866,1.0
000000160728.png,jpeg_q30,single_scale,1.000000,1,10.2691,12.9840,1.0
000000160772.png,none,single_scale,1.000000,1,9.8264,9.8264,1.0
000000160772.png,center_crop_0.5,single_scale,0.500000,0,9.8264,6.9395,1.0
000000160772.png,center_crop_0.75,single_scale,0.531250,0,9.8264,7.6227,1.0
000000160772.png,random_crop_0.5,single_scale,0.437500,0,9.8264,7.6167,1.0
000000160772.png,jpeg_q30,single_scale,1.000000,1,9.8264,12.9940,1.0
000000160864.png,none,single_scale,1.000000,1,9.7716,9.7716,1.0
000000160864.png,center_crop_0.5,single_scale,0.500000,0,9.7716,7.0670,1.0
000000160864.png,center_crop_0.75,single_scale,0.500000,0,9.7716,7.6841,1.0
000000160864.png,random_crop_0.5,single_scale,0.468750,0,9.7716,6.7435,1.0
000000160864.png,jpeg_q30,single_scale,1.000000,1,9.7716,12.9077,1.0
000000161008.png,none,single_scale,1.000000,1,10.0710,10.0710,1.0
000000161008.png,center_crop_0.5,single_scale,0.500000,0,10.0710,7.4777,1.0
000000161008.png,center_crop_0.75,single_scale,0.531250,0,10.0710,8.5034,1.0
000000161008.png,random_crop_0.5,single_scale,0.468750,0,10.0710,8.3977,1.0
000000161008.png,jpeg_q30,single_scale,1.000000,1,10.0710,13.0492,1.0
000000161032.png,none,single_scale,1.000000,1,10.7080,10.7080,1.0
000000161032.png,center_crop_0.5,single_scale,0.500000,0,10.7080,7.5680,1.0
000000161032.png,center_crop_0.75,single_scale,0.531250,0,10.7080,8.2679,1.0
000000161032.png,random_crop_0.5,single_scale,0.500000,0,10.7080,7.7891,1.0
000000161032.png,jpeg_q30,single_scale,1.000000,1,10.7080,13.1714,1.0
000000161044.png,none,single_scale,1.000000,1,10.1183,10.1183,1.0
000000161044.png,center_crop_0.5,single_scale,0.500000,0,10.1183,7.7956,1.0
000000161044.png,center_crop_0.75,single_scale,0.531250,0,10.1183,8.4861,1.0
000000161044.png,random_crop_0.5,single_scale,0.468750,0,10.1183,8.0043,1.0
000000161044.png,jpeg_q30,single_scale,1.000000,1,10.1183,13.0255,1.0
000000161128.png,none,single_scale,1.000000,1,10.5188,10.5188,1.0
000000161128.png,center_crop_0.5,single_scale,0.500000,0,10.5188,7.2049,1.0
000000161128.png,center_crop_0.75,single_scale,0.531250,0,10.5188,8.3022,1.0
000000161128.png,random_crop_0.5,single_scale,0.500000,0,10.5188,7.6303,1.0
000000161128.png,jpeg_q30,single_scale,1.000000,1,10.5188,12.9731,1.0
000000161397.png,none,single_scale,1.000000,1,10.1558,10.1558,1.0
000000161397.png,center_crop_0.5,single_scale,0.500000,0,10.1558,6.5891,1.0
000000161397.png,center_crop_0.75,single_scale,0.531250,0,10.1558,7.6776,1.0
000000161397.png,random_crop_0.5,single_scale,0.500000,0,10.1558,7.4986,1.0
000000161397.png,jpeg_q30,single_scale,1.000000,1,10.1558,12.9175,1.0
000000161609.png,none,single_scale,1.000000,1,10.3997,10.3997,1.0
000000161609.png,center_crop_0.5,single_scale,0.500000,0,10.3997,6.6321,1.0
000000161609.png,center_crop_0.75,single_scale,0.531250,0,10.3997,8.0813,1.0
000000161609.png,random_crop_0.5,single_scale,0.437500,0,10.3997,8.2757,1.0
000000161609.png,jpeg_q30,single_scale,1.000000,1,10.3997,12.9725,1.0
000000161642.png,none,single_scale,1.000000,1,9.7792,9.7792,1.0
000000161642.png,center_crop_0.5,single_scale,0.500000,0,9.7792,6.4842,1.0
000000161642.png,center_crop_0.75,single_scale,0.531250,0,9.7792,7.3287,1.0
000000161642.png,random_crop_0.5,single_scale,0.562500,0,9.7792,6.4870,1.0
000000161642.png,jpeg_q30,single_scale,1.000000,1,9.7792,12.9444,1.0
000000161781.png,none,single_scale,1.000000,1,10.2937,10.2937,1.0
000000161781.png,center_crop_0.5,single_scale,0.500000,0,10.2937,6.9551,1.0
000000161781.png,center_crop_0.75,single_scale,0.531250,0,10.2937,8.3693,1.0
000000161781.png,random_crop_0.5,single_scale,0.562500,0,10.2937,7.8939,1.0
000000161781.png,jpeg_q30,single_scale,1.000000,1,10.2937,12.7046,1.0
000000161799.png,none,single_scale,1.000000,1,10.2067,10.2067,1.0
000000161799.png,center_crop_0.5,single_scale,0.500000,0,10.2067,7.2721,1.0
000000161799.png,center_crop_0.75,single_scale,0.531250,0,10.2067,8.6958,1.0
000000161799.png,random_crop_0.5,single_scale,0.500000,0,10.2067,8.7190,1.0
000000161799.png,jpeg_q30,single_scale,1.000000,1,10.2067,12.7186,1.0
000000161820.png,none,single_scale,1.000000,1,9.6602,9.6602,1.0
000000161820.png,center_crop_0.5,single_scale,0.500000,0,9.6602,7.1873,1.0
000000161820.png,center_crop_0.75,single_scale,0.531250,0,9.6602,8.2077,1.0
000000161820.png,random_crop_0.5,single_scale,0.500000,0,9.6602,7.8599,1.0
000000161820.png,jpeg_q30,single_scale,1.000000,1,9.6602,12.9140,1.0
000000161861.png,none,single_scale,1.000000,1,9.3264,9.3264,1.0
000000161861.png,center_crop_0.5,single_scale,0.500000,0,9.3264,7.0637,1.0
000000161861.png,center_crop_0.75,single_scale,0.562500,0,9.3264,7.6609,1.0
000000161861.png,random_crop_0.5,single_scale,0.500000,0,9.3264,7.0881,1.0
000000161861.png,jpeg_q30,single_scale,1.000000,1,9.3264,12.8537,1.0
000000161875.png,none,single_scale,1.000000,1,10.2461,10.2461,1.0
000000161875.png,center_crop_0.5,single_scale,0.500000,0,10.2461,6.6576,1.0
000000161875.png,center_crop_0.75,single_scale,0.531250,0,10.2461,7.4238,1.0
000000161875.png,random_crop_0.5,single_scale,0.593750,0,10.2461,6.4760,1.0
000000161875.png,jpeg_q30,single_scale,1.000000,1,10.2461,12.8396,1.0
