image,scheme,tamper,localizer,message,predicted,bit_accuracy,mask_pixels,tamper_coverage,global_precision,global_recall,global_f1,global_iou,covered_precision,covered_recall,covered_f1,covered_iou,psnr_watermarked,psnr_tampered
000000021167.png,single_center_50pct,black_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34562,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.4124,11.4571
000000021167.png,single_center_50pct,black_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,34562,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.4124,11.4571
000000021167.png,distributed_q30_5block,remove_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15948,0.234619,0.996630,0.234619,0.379823,0.234433,0.996630,1.000000,0.998311,0.996630,12.6626,13.5971
000000021167.png,distributed_q30_5block,remove_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15948,0.240295,0.976438,0.240295,0.385678,0.238910,0.976438,1.000000,0.988078,0.976438,12.6626,13.5971
000000021167.png,distributed_q30_5block,remove_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15948,0.242676,0.992016,0.242676,0.389957,0.242203,0.992016,1.000000,0.995991,0.992016,12.6626,13.5971
000000021167.png,distributed_q30_5block,remove_center_40,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14896,0.185490,0.978301,0.182099,0.307045,0.181366,0.978301,0.981717,0.980006,0.960796,12.6626,13.8854
000000021167.png,distributed_q30_5block,remove_center_40,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14896,0.191206,0.965335,0.187814,0.314449,0.186556,0.965335,0.982264,0.973725,0.948797,12.6626,13.8854
000000021167.png,distributed_q30_5block,remove_center_40,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14896,0.193682,0.958802,0.191549,0.319306,0.189985,0.958802,0.988983,0.973658,0.948670,12.6626,13.8854
000000021167.png,distributed_q30_5block,remove_top_left_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14777,0.300903,0.985164,0.299927,0.459854,0.298578,0.985164,0.996755,0.990925,0.982014,12.6626,14.1071
000000021167.png,distributed_q30_5block,remove_top_left_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14777,0.305542,0.968556,0.304565,0.463410,0.301583,0.968556,0.996804,0.982476,0.965557,12.6626,14.1071
000000021167.png,distributed_q30_5block,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14777,0.309021,0.978703,0.308533,0.469163,0.306475,0.978703,0.998420,0.988463,0.977189,12.6626,14.1071
000000021167.png,distributed_q30_5block,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14802,0.300903,0.981600,0.299561,0.459034,0.297888,0.981600,0.995538,0.988519,0.977300,12.6626,13.8219
000000021167.png,distributed_q30_5block,remove_bottom_right_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14802,0.307922,0.976477,0.306580,0.466648,0.304332,0.976477,0.995639,0.985965,0.972319,12.6626,13.8219
000000021167.png,distributed_q30_5block,remove_bottom_right_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,14802,0.309570,0.970121,0.309143,0.468873,0.306227,0.970121,0.998620,0.984163,0.968822,12.6626,13.8219
000000021167.png,distributed_q30_5block,black_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15954,0.234619,0.993282,0.234619,0.379579,0.234247,0.993282,1.000000,0.996629,0.993282,12.6626,11.5828
000000021167.png,distributed_q30_5block,black_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15954,0.240295,0.972099,0.240295,0.385338,0.238649,0.972099,1.000000,0.985852,0.972099,12.6626,11.5828
000000021167.png,distributed_q30_5block,black_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,15954,0.242676,0.986111,0.242676,0.389498,0.241849,0.986111,1.000000,0.993006,0.986111,12.6626,11.5828
000000021167.png,distributed_q50_5block,remove_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25570,0.461182,0.987702,0.455872,0.623820,0.453299,0.987702,0.988486,0.988093,0.976468,10.4459,11.5946
000000021167.png,distributed_q50_5block,remove_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25570,0.537537,0.970075,0.532227,0.687344,0.523629,0.970075,0.990121,0.979995,0.960776,10.4459,11.5946
000000021167.png,distributed_q50_5block,remove_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25570,0.552490,0.962959,0.549011,0.699319,0.537657,0.962959,0.993703,0.978089,0.957119,10.4459,11.5946
000000021167.png,distributed_q50_5block,remove_center_40,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,22029,0.420058,0.996693,0.413466,0.584471,0.412900,0.996693,0.984307,0.990461,0.981103,10.4459,12.2348
000000021167.png,distributed_q50_5block,remove_center_40,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,22029,0.474623,0.982797,0.468031,0.634092,0.464228,0.982797,0.986111,0.984451,0.969379,10.4459,12.2348
000000021167.png,distributed_q50_5block,remove_center_40,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,22029,0.485559,0.976793,0.482739,0.646146,0.477265,0.976793,0.994193,0.985415,0.971251,10.4459,12.2348
000000021167.png,distributed_q50_5block,remove_top_left_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25576,0.498108,0.994739,0.496277,0.662187,0.494978,0.994739,0.996324,0.995531,0.991102,10.4459,11.9082
000000021167.png,distributed_q50_5block,remove_top_left_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25576,0.521667,0.963026,0.519836,0.675202,0.509664,0.963026,0.996490,0.979472,0.959770,10.4459,11.9082
000000021167.png,distributed_q50_5block,remove_top_left_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25576,0.527771,0.957959,0.527100,0.680026,0.515182,0.957959,0.998728,0.977918,0.956791,10.4459,11.9082
000000021167.png,distributed_q50_5block,remove_bottom_right_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25484,0.498108,0.998158,0.496033,0.662725,0.495579,0.998158,0.995834,0.996994,0.994007,10.4459,11.5963
000000021167.png,distributed_q50_5block,remove_bottom_right_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25484,0.537903,0.981983,0.535583,0.693128,0.530372,0.981983,0.995688,0.988788,0.977825,10.4459,11.5963
000000021167.png,distributed_q50_5block,remove_bottom_right_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,25484,0.543518,0.978557,0.543152,0.698563,0.536763,0.978557,0.999326,0.988832,0.977912,10.4459,11.5963
000000021167.png,distributed_q50_5block,black_center_25,expected_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,26221,0.461182,1.000000,0.387939,0.559015,0.387939,1.000000,0.841186,0.913743,0.841186,10.4459,10.2206
000000021167.png,distributed_q50_5block,black_center_25,clean_missing,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,26221,0.537537,0.986223,0.463135,0.630284,0.460158,0.986223,0.861587,0.919701,0.851341,10.4459,10.2206
000000021167.png,distributed_q50_5block,black_center_25,prob_drop,00100010111111010000001000111101,00100010111111010000001000111101,1.000000,26221,0.552490,0.988182,0.510376,0.673106,0.507280,0.988182,0.923774,0.954893,0.913680,10.4459,10.2206
000000022705.png,single_center_50pct,remove_center_25,expected_missing,00100010111111010000001000111101,00100010011111010000001000111101,0.968750,18523,1.000000,0.995574,0.988464,0.992006,0.984140,0.995574,0.988464,0.992006,0.984140,10.0638,13.0206
000000022705.png,single_center_50pct,remove_center_25,clean_missing,00100010111111010000001000111101,00100010011111010000001000111101,0.968750,18523,1.000000,0.990823,0.988464,0.989642,0.979497,0.990823,0.988464,0.989642,0.979497,10.0638,13.0206
