image,attack,method,bit_accuracy,message_success
000000098392.png,rotate_38,fourier,0.468750,0
000000098392.png,rotate_52,fourier,0.406250,0
000000098392.png,rotate_73,fourier,0.500000,0
000000098392.png,rotate_90,fourier,0.406250,0
000000098392.png,rotate_137,fourier,0.500000,0
000000098392.png,rotate_180,fourier,1.000000,1
000000098392.png,flip_h,fourier,0.625000,0
000000098392.png,flip_v,fourier,0.500000,0
000000098392.png,rotate_45_crop_50,fourier,0.500000,0
000000098520.png,none,fourier,1.000000,1
000000098520.png,rotate_17,fourier,0.500000,0
000000098520.png,rotate_23,fourier,0.500000,0
000000098520.png,rotate_38,fourier,0.500000,0
000000098520.png,rotate_52,fourier,0.500000,0
000000098520.png,rotate_73,fourier,0.406250,0
000000098520.png,rotate_90,fourier,0.406250,0
000000098520.png,rotate_137,fourier,0.500000,0
000000098520.png,rotate_180,fourier,1.000000,1
000000098520.png,flip_h,fourier,0.625000,0
000000098520.png,flip_v,fourier,0.468750,0
000000098520.png,rotate_45_crop_50,fourier,0.500000,0
000000107554.png,none,fourier,1.000000,1
000000107554.png,rotate_17,fourier,0.531250,0
000000107554.png,rotate_23,fourier,0.500000,0
000000107554.png,rotate_38,fourier,0.500000,0
000000107554.png,rotate_52,fourier,0.437500,0
000000107554.png,rotate_73,fourier,0.468750,0
000000107554.png,rotate_90,fourier,0.406250,0
000000107554.png,rotate_137,fourier,0.500000,0
000000107554.png,rotate_180,fourier,1.000000,1
000000107554.png,flip_h,fourier,0.593750,0
000000107554.png,flip_v,fourier,0.468750,0
000000107554.png,rotate_45_crop_50,fourier,0.437500,0
000000121673.png,none,fourier,1.000000,1
000000121673.png,rotate_17,fourier,0.531250,0
000000121673.png,rotate_23,fourier,0.531250,0
000000121673.png,rotate_38,fourier,0.500000,0
000000121673.png,rotate_52,fourier,0.500000,0
000000121673.png,rotate_73,fourier,0.437500,0
000000121673.png,rotate_90,fourier,0.406250,0
000000121673.png,rotate_137,fourier,0.500000,0
000000121673.png,rotate_180,fourier,1.000000,1
000000121673.png,flip_h,fourier,0.625000,0
000000121673.png,flip_v,fourier,0.468750,0
000000121673.png,rotate_45_crop_50,fourier,0.406250,0
000000134322.png,none,fourier,1.000000,1
000000134322.png,rotate_17,fourier,0.500000,0
000000134322.png,rotate_23,fourier,0.500000,0
000000134322.png,rotate_38,fourier,0.500000,0
000000134322.png,rotate_52,fourier,0.406250,0
000000134322.png,rotate_73,fourier,0.406250,0
000000134322.png,rotate_90,fourier,0.406250,0
000000134322.png,rotate_137,fourier,0.500000,0
000000134322.png,rotate_180,fourier,1.000000,1
000000134322.png,flip_h,fourier,0.812500,0
000000134322.png,flip_v,fourier,0.500000,0
000000134322.png,rotate_45_crop_50,fourier,0.468750,0
000000150649.png,none,fourier,1.000000,1
000000150649.png,rotate_17,fourier,0.500000,0
000000150649.png,rotate_23,fourier,0.500000,0
000000150649.png,rotate_38,fourier,0.500000,0
000000150649.png,rotate_52,fourier,0.437500,0
000000150649.png,rotate_73,fourier,0.468750,0
000000150649.png,rotate_90,fourier,0.406250,0
000000150649.png,rotate_137,fourier,0.500000,0
000000150649.png,rotate_180,fourier,1.000000,1
000000150649.png,flip_h,fourier,0.625000,0
000000150649.png,flip_v,fourier,0.500000,0
000000150649.png,rotate_45_crop_50,fourier,0.500000,0
000000154000.png,none,fourier,1.000000,1
000000154000.png,rotate_17,fourier,0.500000,0
000000154000.png,rotate_23,fourier,0.500000,0
000000154000.png,rotate_38,fourier,0.468750,0
000000154000.png,rotate_52,fourier,0.500000,0
000000154000.png,rotate_73,fourier,0.500000,0
000000154000.png,rotate_90,fourier,0.406250,0
000000154000.png,rotate_137,fourier,0.500000,0
000000154000.png,rotate_180,fourier,1.000000,1
000000154000.png,flip_h,fourier,0.656250,0
000000154000.png,flip_v,fourier,0.531250,0
000000154000.png,rotate_45_crop_50,fourier,0.468750,0
000000186632.png,none,fourier,1.000000,1
000000186632.png,rotate_17,fourier,0.500000,0
000000186632.png,rotate_23,fourier,0.500000,0
000000186632.png,rotate_38,fourier,0.468750,0
000000186632.png,rotate_52,fourier,0.437500,0
000000186632.png,rotate_73,fourier,0.406250,0
000000186632.png,rotate_90,fourier,0.406250,0
000000186632.png,rotate_137,fourier,0.500000,0
000000186632.png,rotate_180,fourier,1.000000,1
000000186632.png,flip_h,fourier,0.656250,0
000000186632.png,flip_v,fourier,0.562500,0
000000186632.png,rotate_45_crop_50,fourier,0.468750,0
000000201775.png,none,fourier,1.000000,1
000000201775.png,rotate_17,fourier,0.468750,0
000000201775.png,rotate_23,fourier,0.500000,0
000000201775.png,rotate_38,fourier,0.500000,0
000000201775.png,rotate_52,fourier,0.500000,0
000000201775.png,rotate_73,fourier,0.437500,0
000000201775.png,rotate_90,fourier,0.468750,0
000000201775.png,rotate_137,fourier,0.500000,0
000000201775.png,rotate_180,fourier,1.000000,1
000000201775.png,flip_h,fourier,0.656250,0
000000201775.png,flip_v,fourier,0.500000,0
000000201775.png,rotate_45_crop_50,fourier,0.437500,0
000000205647.png,none,fourier,1.000000,1
000000205647.png,rotate_17,fourier,0.531250,0
000000205647.png,rotate_23,fourier,0.500000,0
000000205647.png,rotate_38,fourier,0.500000,0
000000205647.png,rotate_52,fourier,0.500000,0
000000205647.png,rotate_73,fourier,0.500000,0
000000205647.png,rotate_90,fourier,0.406250,0
000000205647.png,rotate_137,fourier,0.500000,0
000000205647.png,rotate_180,fourier,1.000000,1
000000205647.png,flip_h,fourier,0.593750,0
000000205647.png,flip_v,fourier,0.468750,0
000000205647.png,rotate_45_crop_50,fourier,0.500000,0
000000207306.png,none,fourier,1.000000,1
000000207306.png,rotate_17,fourier,0.562500,0
000000207306.png,rotate_23,fourier,0.500000,0
000000207306.png,rotate_38,fourier,0.500000,0
000000207306.png,rotate_52,fourier,0.437500,0
000000207306.png,rotate_73,fourier,0.406250,0
000000207306.png,rotate_90,fourier,0.406250,0
000000207306.png,rotate_137,fourier,0.500000,0
000000207306.png,rotate_180,fourier,1.000000,1
000000207306.png,flip_h,fourier,0.656250,0
000000207306.png,flip_v,fourier,0.562500,0
000000207306.png,rotate_45_crop_50,fourier,0.437500,0
000000210299.png,none,fourier,1.000000,1
000000210299.png,rotate_17,fourier,0.562500,0
000000210299.png,rotate_23,fourier,0.531250,0
000000210299.png,rotate_38,fourier,0.468750,0
000000210299.png,rotate_52,fourier,0.500000,0
000000210299.png,rotate_73,fourier,0.437500,0
000000210299.png,rotate_90,fourier,0.406250,0
000000210299.png,rotate_137,fourier,0.500000,0
000000210299.png,rotate_180,fourier,1.000000,1
000000210299.png,flip_h,fourier,0.593750,0
000000210299.png,flip_v,fourier,0.468750,0
000000210299.png,rotate_45_crop_50,fourier,0.437500,0
000000219440.png,none,fourier,1.000000,1
000000219440.png,rotate_17,fourier,0.531250,0
000000219440.png,rotate_23,fourier,0.500000,0
000000219440.png,rotate_38,fourier,0.468750,0
000000219440.png,rotate_52,fourier,0.500000,0
000000219440.png,rotate_73,fourier,0.406250,0
000000219440.png,rotate_90,fourier,0.406250,0
000000219440.png,rotate_137,fourier,0.500000,0
000000219440.png,rotate_180,fourier,1.000000,1
000000219440.png,flip_h,fourier,0.625000,0
