image,attack,method,bit_accuracy,message_success,psnr_watermarked,psnr_attacked,best_scale
000000231527.png,center_crop_0.75,multi_scale,1.000000,1,10.3830,7.2791,0.75
000000231527.png,random_crop_0.5,single_scale,0.562500,0,10.3830,6.9652,1.0
000000231527.png,random_crop_0.5,multi_scale,0.812500,0,10.3830,6.9652,0.50
000000231527.png,jpeg_q30,single_scale,1.000000,1,10.3830,12.7311,1.0
000000231527.png,jpeg_q30,multi_scale,1.000000,1,10.3830,12.7311,1.00
000000231549.png,none,single_scale,1.000000,1,9.9640,9.9640,1.0
000000231549.png,none,multi_scale,1.000000,1,9.9640,9.9640,1.00
000000231549.png,center_crop_0.5,single_scale,0.500000,0,9.9640,6.7300,1.0
000000231549.png,center_crop_0.5,multi_scale,1.000000,1,9.9640,6.7300,0.50
000000231549.png,center_crop_0.75,single_scale,0.531250,0,9.9640,7.6831,1.0
000000231549.png,center_crop_0.75,multi_scale,1.000000,1,9.9640,7.6831,0.75
000000231549.png,random_crop_0.5,single_scale,0.593750,0,9.9640,6.9639,1.0
000000231549.png,random_crop_0.5,multi_scale,0.687500,0,9.9640,6.9639,0.50
000000231549.png,jpeg_q30,single_scale,1.000000,1,9.9640,13.0100,1.0
000000231549.png,jpeg_q30,multi_scale,1.000000,1,9.9640,13.0100,1.00
000000231580.png,none,single_scale,1.000000,1,9.9170,9.9170,1.0
000000231580.png,none,multi_scale,1.000000,1,9.9170,9.9170,1.00
000000231580.png,center_crop_0.5,single_scale,0.500000,0,9.9170,6.9974,1.0
000000231580.png,center_crop_0.5,multi_scale,1.000000,1,9.9170,6.9974,0.50
000000231580.png,center_crop_0.75,single_scale,0.531250,0,9.9170,7.6403,1.0
000000231580.png,center_crop_0.75,multi_scale,1.000000,1,9.9170,7.6403,0.75
000000231580.png,random_crop_0.5,single_scale,0.500000,0,9.9170,6.9132,1.0
000000231580.png,random_crop_0.5,multi_scale,0.500000,0,9.9170,6.9132,1.00
000000231580.png,jpeg_q30,single_scale,1.000000,1,9.9170,12.8560,1.0
000000231580.png,jpeg_q30,multi_scale,1.000000,1,9.9170,12.8560,1.00
000000231747.png,none,single_scale,1.000000,1,10.2954,10.2954,1.0
