scheme,scenario,attack,decode_method,mean_source_accuracy,min_source_accuracy,source_success_rate,mean_mask_pixels,mean_composite_psnr,num_source_rows
full_material_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,global_full_canvas,0.385417,0.375000,0.000000,3708.0,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,must_mer_resize,0.281250,0.000000,0.000000,103.7,42.0175,3
full_material_s2.5,three_sources_extreme_downsize,resize_0.5_jpeg70,oracle_box_raw,0.312500,0.000000,0.000000,175.3,42.0175,3
full_material_s2.5,two_sources_downsize,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,40.3881,2
full_material_s2.5,two_sources_downsize,jpeg_q50,must_mer_resize,0.593750,0.500000,0.000000,2730.5,40.3881,2
full_material_s2.5,two_sources_downsize,jpeg_q50,oracle_box_raw,0.562500,0.437500,0.000000,3668.0,40.3881,2
full_material_s2.5,two_sources_downsize,jpeg_q70,global_full_canvas,0.000000,0.000000,0.000000,0.0,40.3881,2
full_material_s2.5,two_sources_downsize,jpeg_q70,must_mer_resize,0.875000,0.875000,0.000000,42447.5,40.3881,2
full_material_s2.5,two_sources_downsize,jpeg_q70,oracle_box_raw,0.859375,0.843750,0.000000,45686.0,40.3881,2
full_material_s2.5,two_sources_downsize,none,global_full_canvas,0.000000,0.000000,0.000000,0.0,40.3881,2
full_material_s2.5,two_sources_downsize,none,must_mer_resize,1.000000,1.000000,1.000000,65536.0,40.3881,2
full_material_s2.5,two_sources_downsize,none,oracle_box_raw,1.000000,1.000000,1.000000,65536.0,40.3881,2
full_material_s2.5,two_sources_downsize,resize_0.5_jpeg70,global_full_canvas,0.000000,0.000000,0.000000,0.0,40.3881,2
full_material_s2.5,two_sources_downsize,resize_0.5_jpeg70,must_mer_resize,0.671875,0.625000,0.000000,9463.5,40.3881,2
full_material_s2.5,two_sources_downsize,resize_0.5_jpeg70,oracle_box_raw,0.765625,0.750000,0.000000,20144.5,40.3881,2
full_material_s3.0,three_sources_crop_feather,jpeg_q50,global_full_canvas,0.000000,0.000000,0.000000,0.0,38.0066,3
full_material_s3.0,three_sources_crop_feather,jpeg_q50,must_mer_resize,0.333333,0.000000,0.000000,3690.3,38.0066,3
full_material_s3.0,three_sources_crop_feather,jpeg_q50,oracle_box_raw,0.343750,0.000000,0.000000,4324.3,38.0066,3
full_material_s3.0,three_sources_crop_feather,jpeg_q70,global_full_canvas,0.458333,0.406250,0.000000,2073.0,38.0066,3
full_material_s3.0,three_sources_crop_feather,jpeg_q70,must_mer_resize,0.489583,0.406250,0.000000,14400.0,38.0066,3
full_material_s3.0,three_sources_crop_feather,jpeg_q70,oracle_box_raw,0.479167,0.406250,0.000000,15671.0,38.0066,3
full_material_s3.0,three_sources_crop_feather,none,global_full_canvas,0.458333,0.375000,0.000000,26.0,38.0066,3
full_material_s3.0,three_sources_crop_feather,none,must_mer_resize,1.000000,1.000000,1.000000,62331.7,38.0066,3
full_material_s3.0,three_sources_crop_feather,none,oracle_box_raw,1.000000,1.000000,1.000000,62344.0,38.0066,3
full_material_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,global_full_canvas,0.406250,0.375000,0.000000,642.0,38.0066,3
full_material_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,must_mer_resize,0.479167,0.375000,0.000000,17712.0,38.0066,3
full_material_s3.0,three_sources_crop_feather,resize_0.5_jpeg70,oracle_box_raw,0.510417,0.468750,0.000000,17384.3,38.0066,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q50,global_full_canvas,0.375000,0.343750,0.000000,3186.0,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q50,must_mer_resize,0.260417,0.000000,0.000000,907.3,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q50,oracle_box_raw,0.260417,0.000000,0.000000,923.7,40.4882,3
full_material_s3.0,three_sources_extreme_downsize,jpeg_q70,global_full_canvas,0.416667,0.343750,0.000000,4233.0,40.4882,3
