image,attack,method,selected_branch,message,predicted,bit_accuracy,message_success,selected_confidence,psnr_vs_original
ducks.jpg,jpeg_q50,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997967,33.8281
ducks.jpg,jpeg_q50,mbrs_similarity_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997967,33.8281
ducks.jpg,jpeg_q50,oracle_best_branch,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997967,33.8281
ducks.jpg,jpeg_q30,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.993220,32.5385
ducks.jpg,jpeg_q30,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.994968,32.5385
ducks.jpg,jpeg_q30,mbrs_similarity_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.994968,32.5385
ducks.jpg,jpeg_q30,oracle_best_branch,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.994968,32.5385
ducks.jpg,jpeg_q20,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.983390,31.2534
ducks.jpg,jpeg_q20,mbrs_confidence_select,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.983390,31.2534
ducks.jpg,jpeg_q20,mbrs_similarity_select,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.983390,31.2534
ducks.jpg,jpeg_q20,oracle_best_branch,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.983390,31.2534
ducks.jpg,resize_0.75_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997555,33.4337
ducks.jpg,resize_0.75_jpeg_q50,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997609,33.4337
ducks.jpg,resize_0.75_jpeg_q50,mbrs_similarity_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997609,33.4337
ducks.jpg,resize_0.75_jpeg_q50,oracle_best_branch,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997609,33.4337
ducks.jpg,resize_0.5_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998078,32.2877
ducks.jpg,resize_0.5_jpeg_q50,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998110,32.2877
ducks.jpg,resize_0.5_jpeg_q50,mbrs_similarity_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998110,32.2877
ducks.jpg,resize_0.5_jpeg_q50,oracle_best_branch,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998110,32.2877
ducks.jpg,resize_0.25_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998305,28.8351
ducks.jpg,resize_0.25_jpeg_q50,mbrs_confidence_select,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998371,28.8351
ducks.jpg,resize_0.25_jpeg_q50,mbrs_similarity_select,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998371,28.8351
ducks.jpg,resize_0.25_jpeg_q50,oracle_best_branch,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.998371,28.8351
ducks.jpg,jpeg_q50_then_q30,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.988633,31.2238
ducks.jpg,jpeg_q50_then_q30,mbrs_confidence_select,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.988633,31.2238
ducks.jpg,jpeg_q50_then_q30,mbrs_similarity_select,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.988633,31.2238
ducks.jpg,jpeg_q50_then_q30,oracle_best_branch,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.988633,31.2238
gauguin_256.jpg,jpeg_q95,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.995947,41.3774
gauguin_256.jpg,jpeg_q95,mbrs_confidence_select,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.996514,41.3774
gauguin_256.jpg,jpeg_q95,mbrs_similarity_select,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.996514,41.3774
gauguin_256.jpg,jpeg_q95,oracle_best_branch,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.996514,41.3774
gauguin_256.jpg,jpeg_q85,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100000001001,0.906250,0,0.890481,42.8462
gauguin_256.jpg,jpeg_q85,mbrs_confidence_select,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100000001001,0.906250,0,0.892292,42.8462
gauguin_256.jpg,jpeg_q85,mbrs_similarity_select,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100000001001,0.906250,0,0.892292,42.8462
gauguin_256.jpg,jpeg_q85,oracle_best_branch,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100000001001,0.906250,0,0.892292,42.8462
gauguin_256.jpg,jpeg_q75,baseline_identity,identity,11101001100100000111100001001010,11100001100100000111100001001010,0.968750,0,0.917878,34.2149
gauguin_256.jpg,jpeg_q75,mbrs_confidence_select,jpeg_mask_keep4,11101001100100000111100001001010,11100001100100000111100001001010,0.968750,0,0.924158,34.2149
gauguin_256.jpg,jpeg_q75,mbrs_similarity_select,jpeg_mask_keep4,11101001100100000111100001001010,11100001100100000111100001001010,0.968750,0,0.924158,34.2149
gauguin_256.jpg,jpeg_q75,oracle_best_branch,jpeg_mask_keep4,11101001100100000111100001001010,11100001100100000111100001001010,0.968750,0,0.924158,34.2149
gauguin_256.jpg,jpeg_q65,baseline_identity,identity,11101001100100000111100001001010,11100001110100000111100001011011,0.875000,0,0.897050,32.5851
gauguin_256.jpg,jpeg_q65,mbrs_confidence_select,jpeg_mask_keep8,11101001100100000111100001001010,11100001110100000111100001011011,0.875000,0,0.899004,32.5851
gauguin_256.jpg,jpeg_q65,mbrs_similarity_select,jpeg_mask_keep8,11101001100100000111100001001010,11100001110100000111100001011011,0.875000,0,0.899004,32.5851
gauguin_256.jpg,jpeg_q65,oracle_best_branch,jpeg_mask_keep4,11101001100100000111100001001010,11100001110100000111100001011010,0.906250,0,0.895517,32.5851
gauguin_256.jpg,jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11100001110100000111001001001011,0.843750,0,0.833103,31.6796
gauguin_256.jpg,jpeg_q50,mbrs_confidence_select,jpeg_mask_keep8,11101001100100000111100001001010,11100001110100000111001001001011,0.843750,0,0.835649,31.6796
gauguin_256.jpg,jpeg_q50,mbrs_similarity_select,jpeg_mask_keep8,11101001100100000111100001001010,11100001110100000111001001001011,0.843750,0,0.835649,31.6796
gauguin_256.jpg,jpeg_q50,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,11101001110100000111001001001011,0.875000,0,0.808569,31.6796
gauguin_256.jpg,jpeg_q30,baseline_identity,identity,11101001100100000111100001001010,11100001100100000110101000100010,0.812500,0,0.380549,29.9815
gauguin_256.jpg,jpeg_q30,mbrs_confidence_select,jpeg_mask_keep6,11101001100100000111100001001010,11100001100100000110101000100010,0.812500,0,0.383524,29.9815
gauguin_256.jpg,jpeg_q30,mbrs_similarity_select,jpeg_mask_keep6,11101001100100000111100001001010,11100001100100000110101000100010,0.812500,0,0.383524,29.9815
gauguin_256.jpg,jpeg_q30,oracle_best_branch,jpeg_mask_keep6,11101001100100000111100001001010,11100001100100000110101000100010,0.812500,0,0.383524,29.9815
gauguin_256.jpg,jpeg_q20,baseline_identity,identity,11101001100100000111100001001010,10001001000000000111000000000000,0.750000,0,0.284612,28.6034
gauguin_256.jpg,jpeg_q20,mbrs_confidence_select,real_jpeg_q90,11101001100100000111100001001010,10001001000000000111100100000000,0.750000,0,0.343845,28.6034
gauguin_256.jpg,jpeg_q20,mbrs_similarity_select,jpeg_mask_keep10,11101001100100000111100001001010,10001001000000000111000000000000,0.750000,0,0.292844,28.6034
gauguin_256.jpg,jpeg_q20,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,10001001000000000111100001000000,0.812500,0,0.276705,28.6034
gauguin_256.jpg,resize_0.75_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11000001110100000111000001011011,0.812500,0,0.803828,31.2938
gauguin_256.jpg,resize_0.75_jpeg_q50,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,11001001110100000111000001011011,0.843750,0,0.806346,31.2938
gauguin_256.jpg,resize_0.75_jpeg_q50,mbrs_similarity_select,jpeg_mask_keep6,11101001100100000111100001001010,11000001110100000111000001011011,0.812500,0,0.805860,31.2938
gauguin_256.jpg,resize_0.75_jpeg_q50,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111000001011011,0.906250,0,0.728878,31.2938
gauguin_256.jpg,resize_0.5_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100000000111000001001011,0.906250,0,0.726161,30.4114
gauguin_256.jpg,resize_0.5_jpeg_q50,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,11101001100000000111000001001011,0.906250,0,0.735516,30.4114
gauguin_256.jpg,resize_0.5_jpeg_q50,mbrs_similarity_select,real_jpeg_q50,11101001100100000111100001001010,11101001100000000111000001001011,0.906250,0,0.735516,30.4114
gauguin_256.jpg,resize_0.5_jpeg_q50,oracle_best_branch,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111000001001011,0.937500,0,0.727204,30.4114
gauguin_256.jpg,resize_0.25_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,10100001100100100011000000111000,0.718750,0,0.651654,27.9535
gauguin_256.jpg,resize_0.25_jpeg_q50,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,10100001100100100011000000111000,0.718750,0,0.665738,27.9535
gauguin_256.jpg,resize_0.25_jpeg_q50,mbrs_similarity_select,real_jpeg_q50,11101001100100000111100001001010,10100001100100100011000000111000,0.718750,0,0.665738,27.9535
gauguin_256.jpg,resize_0.25_jpeg_q50,oracle_best_branch,jpeg_mask_keep4,11101001100100000111100001001010,10100001100100100011000000111010,0.750000,0,0.662946,27.9535
gauguin_256.jpg,jpeg_q50_then_q30,baseline_identity,identity,11101001100100000111100001001010,10110001110100000111101001011011,0.781250,0,0.752489,28.5424
gauguin_256.jpg,jpeg_q50_then_q30,mbrs_confidence_select,jpeg_mask_keep8,11101001100100000111100001001010,10110001110100000111101001011011,0.781250,0,0.753418,28.5424
gauguin_256.jpg,jpeg_q50_then_q30,mbrs_similarity_select,jpeg_mask_keep8,11101001100100000111100001001010,10110001110100000111101001011011,0.781250,0,0.753418,28.5424
gauguin_256.jpg,jpeg_q50_then_q30,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,10100011110100000111101001001011,0.812500,0,0.604409,28.5424
seabackground.jpg,jpeg_q95,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999388,41.3821
seabackground.jpg,jpeg_q95,mbrs_confidence_select,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999389,41.3821
seabackground.jpg,jpeg_q95,mbrs_similarity_select,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999389,41.3821
seabackground.jpg,jpeg_q95,oracle_best_branch,jpeg_mask_keep4,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999389,41.3821
seabackground.jpg,jpeg_q85,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999208,42.2058
seabackground.jpg,jpeg_q85,mbrs_confidence_select,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999210,42.2058
seabackground.jpg,jpeg_q85,mbrs_similarity_select,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999210,42.2058
seabackground.jpg,jpeg_q85,oracle_best_branch,jpeg_mask_keep8,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999210,42.2058
seabackground.jpg,jpeg_q75,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999112,31.4835
seabackground.jpg,jpeg_q75,mbrs_confidence_select,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999135,31.4835
seabackground.jpg,jpeg_q75,mbrs_similarity_select,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999135,31.4835
seabackground.jpg,jpeg_q75,oracle_best_branch,jpeg_mask_keep6,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.999135,31.4835
seabackground.jpg,jpeg_q65,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.996618,28.3891
seabackground.jpg,jpeg_q65,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997253,28.3891
seabackground.jpg,jpeg_q65,mbrs_similarity_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997253,28.3891
seabackground.jpg,jpeg_q65,oracle_best_branch,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997253,28.3891
seabackground.jpg,jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.957302,27.3307
seabackground.jpg,jpeg_q50,mbrs_confidence_select,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.957302,27.3307
seabackground.jpg,jpeg_q50,mbrs_similarity_select,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.957302,27.3307
seabackground.jpg,jpeg_q50,oracle_best_branch,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.957302,27.3307
seabackground.jpg,jpeg_q30,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.796825,25.2344
seabackground.jpg,jpeg_q30,mbrs_confidence_select,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.796825,25.2344
seabackground.jpg,jpeg_q30,mbrs_similarity_select,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.796825,25.2344
seabackground.jpg,jpeg_q30,oracle_best_branch,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.796825,25.2344
seabackground.jpg,jpeg_q20,baseline_identity,identity,11101001100100000111100001001010,00000100000000000000000010000000,0.500000,0,0.042460,23.8231
seabackground.jpg,jpeg_q20,mbrs_confidence_select,real_jpeg_q70,11101001100100000111100001001010,10000101000000000000000000000000,0.593750,0,0.150468,23.8231
seabackground.jpg,jpeg_q20,mbrs_similarity_select,real_jpeg_q70,11101001100100000111100001001010,10000101000000000000000000000000,0.593750,0,0.150468,23.8231
seabackground.jpg,jpeg_q20,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,10000101000000000000000000000000,0.593750,0,0.150468,23.8231
seabackground.jpg,resize_0.75_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.949652,22.8455
seabackground.jpg,resize_0.75_jpeg_q50,mbrs_confidence_select,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.958745,22.8455
seabackground.jpg,resize_0.75_jpeg_q50,mbrs_similarity_select,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.958745,22.8455
seabackground.jpg,resize_0.75_jpeg_q50,oracle_best_branch,real_jpeg_q90,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.958745,22.8455
seabackground.jpg,resize_0.5_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.937139,21.4259
seabackground.jpg,resize_0.5_jpeg_q50,mbrs_confidence_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.956603,21.4259
seabackground.jpg,resize_0.5_jpeg_q50,mbrs_similarity_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.956603,21.4259
seabackground.jpg,resize_0.5_jpeg_q50,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.956603,21.4259
seabackground.jpg,resize_0.25_jpeg_q50,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.944239,20.6733
seabackground.jpg,resize_0.25_jpeg_q50,mbrs_confidence_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.944608,20.6733
seabackground.jpg,resize_0.25_jpeg_q50,mbrs_similarity_select,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.944608,20.6733
seabackground.jpg,resize_0.25_jpeg_q50,oracle_best_branch,real_jpeg_q50,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.944608,20.6733
seabackground.jpg,jpeg_q50_then_q30,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.957253,23.2571
seabackground.jpg,jpeg_q50_then_q30,mbrs_confidence_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.962541,23.2571
seabackground.jpg,jpeg_q50_then_q30,mbrs_similarity_select,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.962541,23.2571
seabackground.jpg,jpeg_q50_then_q30,oracle_best_branch,real_jpeg_q70,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.962541,23.2571
trex_bike.jpg,jpeg_q95,baseline_identity,identity,11101001100100000111100001001010,11101001100100000111100001001010,1.000000,1,0.997967,40.3520
