image,attack,method,bit_accuracy,message_success
000000358427.png,rotate_1,hierarchical,1.000000,1
000000358427.png,rotate_129,hierarchical,0.968750,0
000000358427.png,flip_h,hierarchical,0.593750,0
000000358427.png,flip_v,hierarchical,0.500000,0
000000358427.png,rotate_45_crop_50,hierarchical,1.000000,1
000000360137.png,none,hierarchical,1.000000,1
000000360137.png,rotate_125,hierarchical,1.000000,1
000000360137.png,rotate_129,hierarchical,1.000000,1
000000360137.png,rotate_52,hierarchical,1.000000,1
000000360137.png,flip_h,hierarchical,0.875000,0
000000360137.png,flip_v,hierarchical,0.531250,0
000000360137.png,rotate_45_crop_50,hierarchical,1.000000,1
000000397681.png,none,hierarchical,1.000000,1
000000397681.png,rotate_197,hierarchical,0.562500,0
000000397681.png,rotate_246,hierarchical,0.968750,0
000000397681.png,rotate_323,hierarchical,0.531250,0
000000397681.png,flip_h,hierarchical,0.593750,0
000000397681.png,flip_v,hierarchical,0.500000,0
000000397681.png,rotate_45_crop_50,hierarchical,1.000000,1
000000400573.png,none,hierarchical,1.000000,1
000000400573.png,rotate_183,hierarchical,1.000000,1
000000400573.png,rotate_122,hierarchical,0.968750,0
000000400573.png,rotate_254,hierarchical,1.000000,1
000000400573.png,flip_h,hierarchical,0.593750,0
000000400573.png,flip_v,hierarchical,0.468750,0
000000400573.png,rotate_45_crop_50,hierarchical,1.000000,1
000000401250.png,none,hierarchical,1.000000,1
000000401250.png,rotate_324,hierarchical,1.000000,1
000000401250.png,rotate_97,hierarchical,1.000000,1
000000401250.png,rotate_197,hierarchical,0.718750,0
000000401250.png,flip_h,hierarchical,0.625000,0
000000401250.png,flip_v,hierarchical,0.500000,0
000000401250.png,rotate_45_crop_50,hierarchical,1.000000,1
000000426372.png,none,hierarchical,1.000000,1
000000426372.png,rotate_96,hierarchical,1.000000,1
000000426372.png,rotate_200,hierarchical,0.687500,0
000000426372.png,rotate_123,hierarchical,1.000000,1
000000426372.png,flip_h,hierarchical,0.625000,0
000000426372.png,flip_v,hierarchical,0.531250,0
000000426372.png,rotate_45_crop_50,hierarchical,1.000000,1
000000437351.png,none,hierarchical,1.000000,1
000000437351.png,rotate_348,hierarchical,1.000000,1
000000437351.png,rotate_258,hierarchical,0.625000,0
000000437351.png,rotate_147,hierarchical,0.625000,0
000000437351.png,flip_h,hierarchical,0.656250,0
000000437351.png,flip_v,hierarchical,0.468750,0
000000437351.png,rotate_45_crop_50,hierarchical,1.000000,1
000000477805.png,none,hierarchical,1.000000,1
000000477805.png,rotate_345,hierarchical,1.000000,1
000000477805.png,rotate_146,hierarchical,0.562500,0
000000477805.png,rotate_147,hierarchical,0.656250,0
000000477805.png,flip_h,hierarchical,0.906250,0
000000477805.png,flip_v,hierarchical,0.468750,0
000000477805.png,rotate_45_crop_50,hierarchical,1.000000,1
000000508730.png,none,hierarchical,1.000000,1
000000508730.png,rotate_127,hierarchical,1.000000,1
000000508730.png,rotate_38,hierarchical,0.968750,0
000000508730.png,rotate_337,hierarchical,1.000000,1
000000508730.png,flip_h,hierarchical,0.656250,0
000000508730.png,flip_v,hierarchical,0.500000,0
000000508730.png,rotate_45_crop_50,hierarchical,1.000000,1
000000517056.png,none,hierarchical,1.000000,1
000000517056.png,rotate_150,hierarchical,0.656250,0
000000517056.png,rotate_297,hierarchical,1.000000,1
000000517056.png,rotate_98,hierarchical,1.000000,1
000000517056.png,flip_h,hierarchical,0.687500,0
000000517056.png,flip_v,hierarchical,0.531250,0
000000517056.png,rotate_45_crop_50,hierarchical,1.000000,1
000000517687.png,none,hierarchical,1.000000,1
000000517687.png,rotate_345,hierarchical,1.000000,1
000000517687.png,rotate_111,hierarchical,0.968750,0
000000517687.png,rotate_59,hierarchical,1.000000,1
000000517687.png,flip_h,hierarchical,0.625000,0
000000517687.png,flip_v,hierarchical,0.500000,0
